Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
RMI1		9q21.32	AMP	1	109	0.9%	No
PDE7B		6q23.3	AMP	1	109	0.9%	No
ANPEP		15q26.1	HOMDEL	1	109	0.9%	No
LTB4R		14q12	HOMDEL	1	109	0.9%	No
PFN4		2p23.3	HOMDEL	1	109	0.9%	No
GPR135		14q23.1	AMP	5	109	4.6%	No
SMARCD3		7q36.1	AMP	12	109	11.0%	No
OR5AN1		11q12.1	HOMDEL	1	109	0.9%	No
SPRR1A		1q21.3	HOMDEL	2	109	1.8%	No
IRF2BPL		14q24.3	HOMDEL	2	109	1.8%	No
PRKCQ-AS1		10p14	AMP	2	109	1.8%	No
C1ORF159		1p36.33	AMP	14	109	12.8%	No
KALRN		3q21.1-q21.2	HOMDEL	1	109	0.9%	No
GFOD3P		1p36.32	HOMDEL	8	109	7.3%	No
ZWILCH		15q22.31	HOMDEL	2	109	1.8%	No
MRO		18q21.2	AMP	1	109	0.9%	No
MEF2C		5q14.3	AMP	1	109	0.9%	Yes
MED9		17p11.2	AMP	3	109	2.8%	No
TBX18		6q14.3	HOMDEL	8	109	7.3%	No
KCNV1		8q23.2	HOMDEL	2	109	1.8%	No
AZU1		19p13.3	HOMDEL	4	109	3.7%	No
TENT5B		1p36.11	HOMDEL	10	109	9.2%	No
STK32C		10q26.3	HOMDEL	3	109	2.8%	No
H1-5		6p22.1	AMP	2	109	1.8%	Yes
KCNN1		19p13.11	HOMDEL	1	109	0.9%	No
LAMA4		6q21	HOMDEL	7	109	6.4%	No
OR52N5		11p15.4	HOMDEL	5	109	4.6%	No
BCO2		11q23.1	AMP	2	109	1.8%	No
ABI2		2q33.2	HOMDEL	1	109	0.9%	No
RDUR		3q12.3	AMP	2	109	1.8%	No
SPACDR		7q22.1	AMP	24	109	22.0%	No
TLX2		2p13.1	HOMDEL	1	109	0.9%	No
DENND5B		12p11.21	AMP	4	109	3.7%	No
HJV		1q21.1	AMP	10	109	9.2%	No
BORCS8-MEF2B		19p13.11	AMP	5	109	4.6%	No
SPHK1		17q25.1	HOMDEL	2	109	1.8%	No
AKAP10		17p11.2	AMP	5	109	4.6%	No
TBC1D10A		22q12.2	AMP	4	109	3.7%	No
PDCD6		5p15.33	AMP	14	109	12.8%	No
WDR83OS		19p13.13	AMP	6	109	5.5%	No
ATXN7L2		1p13.3	HOMDEL	3	109	2.8%	No
TARM1		19q13.42	HOMDEL	2	109	1.8%	No
H1-4		6p22.2	AMP	3	109	2.8%	Yes
SRGAP2		1q32.1	HOMDEL	1	109	0.9%	No
BTD		3p25.1	HOMDEL	1	109	0.9%	No
ECT2L		6q24.1	HOMDEL	3	109	2.8%	Yes
BUD13		11q23.3	AMP	2	109	1.8%	No
MINDY3		10p13	AMP	1	109	0.9%	No
CTHRC1		8q22.3	AMP	7	109	6.4%	No
RAB5B		12q13.2	HOMDEL	2	109	1.8%	No
PPM1J		1p13.2	HOMDEL	3	109	2.8%	No
RASSF3		12q14.2	HOMDEL	2	109	1.8%	No
NR3C1		5q31.3	AMP	1	109	0.9%	No
TBC1D3		17q12	AMP	5	109	4.6%	No
AKAP11		13q14.11	AMP	3	109	2.8%	No
TMEM199		17q11.2	HOMDEL	2	109	1.8%	No
PLPP1		5q11.2	HOMDEL	4	109	3.7%	No
CDK5RAP3		17q21.32	AMP	3	109	2.8%	No
GPR61		1p13.3	AMP	4	109	3.7%	No
METTL21EP		13q33.1	HOMDEL	1	109	0.9%	No
PARGP1		10q11.22	AMP	1	109	0.9%	No
BCL2L10		15q21.2	AMP	1	109	0.9%	No
USP31		16p12.2	HOMDEL	1	109	0.9%	No
WDR19		4p14	HOMDEL	2	109	1.8%	No
DUX4L1		4q35.2	HOMDEL	4	109	3.7%	No
GPX8		5q11.2	HOMDEL	4	109	3.7%	No
PHF11		13q14.2	AMP	1	109	0.9%	No
COMMD10		5q23.1	AMP	1	109	0.9%	No
SSC5D		19q13.42	HOMDEL	2	109	1.8%	No
LPP-AS2		3q27.3	AMP	2	109	1.8%	No
H1-3		6p22.2	AMP	3	109	2.8%	Yes
H4C6		6p22.2	HOMDEL	6	109	5.5%	Yes
KRT77		12q13.13	HOMDEL	3	109	2.8%	No
PSAP		10q22.1	AMP	2	109	1.8%	No
PLCD4		2q35	AMP	5	109	4.6%	No
ERBIN		5q12.3	HOMDEL	5	109	4.6%	No
ARHGAP35		19q13.32	AMP	13	109	11.9%	Yes
AKAP13		15q25.3	AMP	5	109	4.6%	No
ASB3		2p16.2	AMP	1	109	0.9%	No
MEF2A		15q26.3	AMP	6	109	5.5%	No
PPP1R3D		20q13.33	HOMDEL	1	109	0.9%	No
WWC2		4q35.1	AMP	1	109	0.9%	No
ZNF267		16p11.2	HOMDEL	3	109	2.8%	No
MSLNL		16p13.3	HOMDEL	3	109	2.8%	No
CEP83		12q22	AMP	1	109	0.9%	No
NDOR1		9q34.3	HOMDEL	4	109	3.7%	No
H1-2		6p22.2	AMP	3	109	2.8%	Yes
ZNF440		19p13.2	AMP	1	109	0.9%	No
MTARC2		1q41	AMP	7	109	6.4%	No
GPATCH1		19q13.11	AMP	11	109	10.1%	No
GRIN2D		19q13.33	AMP	14	109	12.8%	No
TRAPPC4		11q23.3	AMP	7	109	6.4%	No
USP17L29		4p16.1	AMP	3	109	2.8%	No
HIGD2A		5q35.2	AMP	5	109	4.6%	No
PAK4		19q13.2	HOMDEL	1	109	0.9%	No
RINT1		7q22.3	HOMDEL	1	109	0.9%	No
KCTD3		1q41	AMP	9	109	8.3%	No
MRPL12		17q25.3	HOMDEL	2	109	1.8%	No
CHCT1		17q23.2	AMP	5	109	4.6%	No
PRKG2		4q21.21	HOMDEL	2	109	1.8%	No
CDCA7		2q31.1	AMP	2	109	1.8%	No
LINC00852		3p25.3	HOMDEL	2	109	1.8%	No
FSHB		11p14.1	HOMDEL	2	109	1.8%	No
GALNT16		14q24.1	HOMDEL	2	109	1.8%	No
NPHP4		1p36.31	AMP	6	109	5.5%	No
PSD		10q24.32	AMP	8	109	7.3%	No
OXSM		3p24.2	AMP	1	109	0.9%	No
H1-0		22q13.1	AMP	6	109	5.5%	No
NTAQ1		8q24.13	AMP	15	109	13.8%	No
GRINA		8q24.3	AMP	37	109	33.9%	No
RNFT1		17q23.1	AMP	5	109	4.6%	No
GTF2IRD2P1		7q11.23	AMP	9	109	8.3%	No
SYT5		19q13.42	AMP	18	109	16.5%	No
PPBP		4q13.3	HOMDEL	3	109	2.8%	No
IL4I1		19q13.33	HOMDEL	2	109	1.8%	No
LYPLA2P2		19p13.2	AMP	8	109	7.3%	No
PROX1		1q32.3	HOMDEL	1	109	0.9%	No
USHBP1		19p13.11	AMP	6	109	5.5%	No
RGMB		5q15	AMP	2	109	1.8%	No
NPTX1		17q25.3	HOMDEL	4	109	3.7%	No
SSTR5-AS1		16p13.3	AMP	14	109	12.8%	No
GZMM		19p13.3	AMP	15	109	13.8%	No
PUF60		8q24.3	HOMDEL	3	109	2.8%	No
GID8		20q13.33	AMP	15	109	13.8%	No
ASH2L		8p11.23	HOMDEL	2	109	1.8%	No
ATP6V0E2-AS1		7q36.1	HOMDEL	1	109	0.9%	No
TMEM51		1p36.21	AMP	1	109	0.9%	No
GRIN2B		12p13.1	AMP	2	109	1.8%	No
ITPRIPL2		16p12.3	AMP	2	109	1.8%	No
DGLUCY		14q32.11	AMP	1	109	0.9%	No
TBC1D3H		17q12	AMP	4	109	3.7%	No
E4F1		16p13.3	HOMDEL	4	109	3.7%	No
MBD3		19p13.3	HOMDEL	6	109	5.5%	No
IRAK4		12q12	AMP	1	109	0.9%	No
FLYWCH2		16p13.3	HOMDEL	4	109	3.7%	No
MEA1		6p21.1	AMP	7	109	6.4%	No
BTBD16		10q26.13	AMP	1	109	0.9%	No
TM2D2		8p11.22	AMP	4	109	3.7%	No
CAMK2B		7p13	HOMDEL	1	109	0.9%	No
KCNH3		12q13.12	HOMDEL	3	109	2.8%	No
ZSCAN2		15q25.2	AMP	5	109	4.6%	No
OR4C3		11p11.2	HOMDEL	1	109	0.9%	No
GZMK		5q11.2	AMP	1	109	0.9%	No
PSEN2		1q42.13	AMP	11	109	10.1%	No
ZZEF1		17p13.2	HOMDEL	4	109	3.7%	No
LINC00964		8q24.13	AMP	13	109	11.9%	No
NAA25		12q24.13	AMP	2	109	1.8%	No
SPINDOC		11q13.1	HOMDEL	1	109	0.9%	No
GUSBP2		6p22.2	AMP	4	109	3.7%	No
GRIN2C		17q25.1	AMP	7	109	6.4%	No
CBX8		17q25.3	HOMDEL	2	109	1.8%	No
SPATA31F1		9p13.3	HOMDEL	3	109	2.8%	No
GUCD1		22q11.23	AMP	3	109	2.8%	No
SWSAP1		19p13.2	AMP	6	109	5.5%	No
GRHL3		1p36.11	HOMDEL	7	109	6.4%	No
FDFT1		8p23.1	HOMDEL	4	109	3.7%	No
EFCAB3		17q23.2	HOMDEL	3	109	2.8%	No
MRPL15		8q11.23	HOMDEL	1	109	0.9%	No
HUS1B		6p25.3	HOMDEL	6	109	5.5%	No
RAB15		14q23.3	HOMDEL	1	109	0.9%	No
NBPF22P		5q14.3	HOMDEL	2	109	1.8%	No
PKD2L2		5q31.2	HOMDEL	5	109	4.6%	No
DCLRE1C		10p13	HOMDEL	1	109	0.9%	No
OR2A9P		7q35	AMP	3	109	2.8%	No
ADAM22		7q21.12	HOMDEL	2	109	1.8%	No
HACD1		10p12.33	HOMDEL	1	109	0.9%	No
CCM2		7p13	AMP	6	109	5.5%	No
EPHA1-AS1		7q35	AMP	4	109	3.7%	No
CAPZA2		7q31.2	AMP	2	109	1.8%	No
DEAF1		11p15.5	HOMDEL	3	109	2.8%	No
TGFB3		14q24.3	HOMDEL	2	109	1.8%	No
SNORA70F		2q24.3	AMP	2	109	1.8%	No
GART		21q22.11	HOMDEL	1	109	0.9%	No
FBXO48		2p13.3	AMP	1	109	0.9%	No
IL27RA		19p13.12	HOMDEL	1	109	0.9%	No
KAT2B		3p24.3	HOMDEL	4	109	3.7%	No
GLRX5		14q32.13	HOMDEL	4	109	3.7%	No
TMC4		19q13.42	AMP	13	109	11.9%	No
NUP50		22q13.31	HOMDEL	2	109	1.8%	No
DDI1		11q22.3	AMP	1	109	0.9%	No
TCAF2		7q35	AMP	4	109	3.7%	No
FGD6		12q22	HOMDEL	5	109	4.6%	No
CAST		5q15	AMP	2	109	1.8%	No
CHIA		1p13.2	HOMDEL	3	109	2.8%	No
OR2T35		1q44	HOMDEL	3	109	2.8%	No
NFKBID		19q13.12	AMP	20	109	18.3%	No
CREBRF		5q35.1	HOMDEL	1	109	0.9%	No
WDCP		2p23.3	HOMDEL	2	109	1.8%	Yes
USP17L9P		4p16.1	AMP	3	109	2.8%	No
TTBK1		6p21.1	HOMDEL	2	109	1.8%	No
TRIP12		2q36.3	HOMDEL	1	109	0.9%	No
GPR149		3q25.2	HOMDEL	1	109	0.9%	No
SNX24		5q23.2	HOMDEL	3	109	2.8%	No
FNTB		14q23.3	HOMDEL	1	109	0.9%	No
BPIFB6		20q11.21	HOMDEL	1	109	0.9%	No
BMP8A		1p34.3	HOMDEL	1	109	0.9%	No
PERM1		1p36.33	AMP	14	109	12.8%	No
MYO5A		15q21.2	HOMDEL	1	109	0.9%	Yes
SPRN		10q26.3	AMP	8	109	7.3%	No
GUSBP1		5p14.3	AMP	1	109	0.9%	No
SPA17		11q24.2	HOMDEL	2	109	1.8%	No
DBX2		12q12	AMP	1	109	0.9%	No
ATL1		14q22.1	HOMDEL	2	109	1.8%	No
ST3GAL6		3q12.1	HOMDEL	1	109	0.9%	No
H2BC11		6p22.1	HOMDEL	5	109	4.6%	Yes
ATAD1		10q23.31	HOMDEL	3	109	2.8%	No
LINC00856		10q22.3	AMP	3	109	2.8%	No
STRN		2p22.2	HOMDEL	2	109	1.8%	Yes
RAB38		11q14.2	AMP	2	109	1.8%	No
LOC100289561		7q22.1	AMP	17	109	15.6%	No
CALR3		19p13.11	AMP	6	109	5.5%	No
MYLK4		6p25.2	HOMDEL	6	109	5.5%	No
CTAGE15		7q35	AMP	4	109	3.7%	No
SLC23A3		2q35	AMP	6	109	5.5%	No
OR4N2		14q11.2	AMP	3	109	2.8%	No
FABP12		8q21.13	HOMDEL	1	109	0.9%	No
CARS1		11p15.4	AMP	6	109	5.5%	Yes
FUT10		8p12	HOMDEL	1	109	0.9%	No
CLLU1		12q22	HOMDEL	6	109	5.5%	No
IL20		1q32.1	HOMDEL	1	109	0.9%	No
INTS1		7p22.3	HOMDEL	1	109	0.9%	No
DUX4L2		4q35.2	AMP	2	109	1.8%	No
FBXL16		16p13.3	AMP	19	109	17.4%	No
NOC3L		10q23.33	AMP	1	109	0.9%	No
DMRTA1		9p21.3	HOMDEL	25	109	22.9%	No
LCMT2		15q15.3	HOMDEL	1	109	0.9%	No
SPACA4		19q13.33	HOMDEL	2	109	1.8%	No
SCARNA12		12p13.31	HOMDEL	1	109	0.9%	No
THRSP		11q14.1	HOMDEL	1	109	0.9%	No
SRRM3		7q11.23	AMP	11	109	10.1%	No
DOCK6		19p13.2	HOMDEL	1	109	0.9%	No
HSPA14		10p13	HOMDEL	1	109	0.9%	No
SNAI3-AS1		16q24.2	AMP	8	109	7.3%	No
CASP1		11q22.3	AMP	2	109	1.8%	No
FBXW9		19p13.13	HOMDEL	1	109	0.9%	No
ASH1L-AS1		1q22	AMP	18	109	16.5%	No
KLHL26		19p13.11	HOMDEL	1	109	0.9%	No
LINC01622		6p25.3	HOMDEL	6	109	5.5%	No
KIF18B		17q21.31	HOMDEL	1	109	0.9%	No
SNORA64		16p13.3	HOMDEL	4	109	3.7%	No
CPED1		7q31.31	HOMDEL	1	109	0.9%	No
FBRS		16p11.2	AMP	7	109	6.4%	No
SNORD113-4		14q32.31	HOMDEL	8	109	7.3%	No
LINC00910		17q21.31	AMP	8	109	7.3%	No
C1QL1		17q21.31	HOMDEL	1	109	0.9%	No
CCL4L2		17q12	HOMDEL	2	109	1.8%	No
GCSAM		3q13.2	AMP	3	109	2.8%	No
GALE		1p36.11	HOMDEL	9	109	8.3%	No
RSPO3		6q22.33	HOMDEL	8	109	7.3%	Yes
WEE2-AS1		7q34	AMP	1	109	0.9%	No
CASP2		7q34	AMP	3	109	2.8%	No
MRGPRG-AS1		11p15.4	AMP	10	109	9.2%	No
BSND		1p32.3	HOMDEL	6	109	5.5%	No
AQR		15q14	HOMDEL	1	109	0.9%	No
RFLNA		12q24.31	HOMDEL	4	109	3.7%	No
NOL3		16q22.1	HOMDEL	1	109	0.9%	No
BACH2		6q15	HOMDEL	5	109	4.6%	Yes
IBA57		1q42.13	HOMDEL	3	109	2.8%	No
MTHFR		1p36.22	HOMDEL	8	109	7.3%	No
METTL23		17q25.2	AMP	6	109	5.5%	No
DCAF13P3		15q21.2	AMP	1	109	0.9%	No
C18ORF21		18q12.2	AMP	2	109	1.8%	No
ITGB3BP		1p31.3	AMP	3	109	2.8%	No
TM9SF1		14q12	HOMDEL	1	109	0.9%	No
KRTAP4-9		17q21.2	HOMDEL	5	109	4.6%	No
FSTL3		19p13.3	HOMDEL	5	109	4.6%	Yes
AMMECR1L		2q14.3	AMP	1	109	0.9%	No
FBXO16		8p21.1	HOMDEL	2	109	1.8%	No
CCDC159		19p13.2	AMP	6	109	5.5%	No
USP17L6P		4p16.1	AMP	3	109	2.8%	No
DUSP8		11p15.5	HOMDEL	4	109	3.7%	No
ATF7		12q13.13	HOMDEL	2	109	1.8%	No
ITGB2-AS1		21q22.3	AMP	6	109	5.5%	No
LINC00115		1p36.33	HOMDEL	11	109	10.1%	No
EVA1A		2p12	HOMDEL	3	109	2.8%	No
MFSD9		2q12.1	AMP	1	109	0.9%	No
NOMO1		16p13.11	AMP	3	109	2.8%	No
GLI4		8q24.3	HOMDEL	2	109	1.8%	No
KCTD17		22q12.3	HOMDEL	1	109	0.9%	No
DOK6		18q22.2	HOMDEL	26	109	23.9%	No
EHHADH		3q27.2	AMP	3	109	2.8%	No
LHX2		9q33.3	AMP	4	109	3.7%	No
TDRD7		9q22.33	AMP	2	109	1.8%	No
NCAPH2		22q13.33	AMP	16	109	14.7%	No
ATXN2		12q24.12	HOMDEL	1	109	0.9%	Yes
MTO1		6q13	AMP	1	109	0.9%	No
CASP4		11q22.3	AMP	1	109	0.9%	No
FCRL6		1q23.2	AMP	13	109	11.9%	No
CDKN1B		12p13.1	HOMDEL	1	109	0.9%	Yes
ZPBP2		17q21.1	HOMDEL	1	109	0.9%	No
BBS12		4q27	HOMDEL	5	109	4.6%	No
FNDC11		20q13.33	AMP	24	109	22.0%	No
UBE4A		11q23.3	AMP	2	109	1.8%	No
TMED3		15q25.1	AMP	3	109	2.8%	No
DNAJB5		9p13.3	AMP	7	109	6.4%	No
ZNF655		7q22.1	AMP	7	109	6.4%	No
CASP5		11q22.3	AMP	1	109	0.9%	No
PCDHB2		5q31.3	HOMDEL	6	109	5.5%	No
SLC25A37		8p21.2	HOMDEL	2	109	1.8%	No
AHNAK		11q12.3	AMP	7	109	6.4%	No
GOLGA6FP		15q24.3	HOMDEL	1	109	0.9%	No
GK2		4q21.21	HOMDEL	3	109	2.8%	No
PRAMEF19		1p36.21	AMP	3	109	2.8%	No
SUPT4H1		17q22	HOMDEL	2	109	1.8%	No
YWHAH		22q12.3	HOMDEL	1	109	0.9%	No
GRIP1		12q14.3	AMP	4	109	3.7%	No
HNRNPCL1		1p36.21	HOMDEL	13	109	11.9%	No
LINC00184		1q42.3	HOMDEL	2	109	1.8%	No
GSTT1		22q11.23 alternate reference locus	HOMDEL	1	109	0.9%	No
OR1F2P		16p13.3	AMP	6	109	5.5%	No
TEX19		17q25.3	HOMDEL	4	109	3.7%	No
TSGA13		7q32.2	AMP	3	109	2.8%	No
LINC00290		4q34.3	HOMDEL	7	109	6.4%	No
PRDM2		1p36.21	HOMDEL	5	109	4.6%	No
SRSF6		20q13.11	HOMDEL	1	109	0.9%	No
LINC00885		3q29	AMP	9	109	8.3%	No
EGR3		8p21.3	AMP	2	109	1.8%	No
CRTAM		11q24.1	HOMDEL	1	109	0.9%	No
EGR4		2p13.2	AMP	5	109	4.6%	No
APOM		6p21.33	AMP	7	109	6.4%	No
ARIH1		15q24.1	AMP	4	109	3.7%	No
AFG2B		15q21.1	AMP	1	109	0.9%	No
ZDHHC16		10q24.1	HOMDEL	1	109	0.9%	No
SNORD115-16		15q11.2	HOMDEL	9	109	8.3%	No
SLC22A6		11q12.3	AMP	7	109	6.4%	No
EPS15		1p32.3	AMP	3	109	2.8%	Yes
SPRR3		1q21.3	HOMDEL	2	109	1.8%	No
LYPLAL1		1q41	AMP	12	109	11.0%	No
XAF1		17p13.2	AMP	1	109	0.9%	No
RNASEK		17p13.1	HOMDEL	6	109	5.5%	No
SLC2A14		12p13.31	AMP	1	109	0.9%	No
GLIPR1L2		12q21.2	HOMDEL	8	109	7.3%	No
CERK		22q13.31	HOMDEL	3	109	2.8%	No
SLC7A8		14q11.2	AMP	4	109	3.7%	No
GUCA1A		6p21.1	HOMDEL	1	109	0.9%	No
IQGAP2		5q13.3	HOMDEL	4	109	3.7%	No
PHETA1		12q24.12	HOMDEL	1	109	0.9%	No
LY6G6D		6p21.33	HOMDEL	3	109	2.8%	No
CROCCP2		1p36.13	AMP	2	109	1.8%	No
TMEM183A		1q32.1	HOMDEL	3	109	2.8%	No
ZFP57		6p22.1	AMP	3	109	2.8%	No
DKK3		11p15.3	AMP	3	109	2.8%	Yes
SH3BGRL2		6q14.1	HOMDEL	7	109	6.4%	No
LSM11		5q33.3	AMP	1	109	0.9%	No
MIR7-3HG		19p13.3	HOMDEL	4	109	3.7%	No
TRIM43B		2q11.1	HOMDEL	1	109	0.9%	No
HS3ST2		16p12.2	HOMDEL	1	109	0.9%	No
OR1A2		17p13.3	AMP	1	109	0.9%	No
DCDC1		11p14.1	AMP	2	109	1.8%	No
ITGBL1		13q33.1	AMP	2	109	1.8%	No
SNORD82		2q37.1	AMP	2	109	1.8%	No
LINC00869		1q21.2	AMP	11	109	10.1%	No
CELF2-AS2		10p14	AMP	2	109	1.8%	No
HSD3B7		16p11.2	AMP	7	109	6.4%	No
DKK4		8p11.21	AMP	6	109	5.5%	Yes
AURKAP1		1q41	HOMDEL	1	109	0.9%	No
AMDHD1		12q23.1	AMP	1	109	0.9%	No
FSTL3		19p13.3	AMP	15	109	13.8%	Yes
CEBPA-DT		19q13.11	HOMDEL	1	109	0.9%	No
IDH3B		20p13	HOMDEL	2	109	1.8%	No
C19ORF44		19p13.11	HOMDEL	1	109	0.9%	No
OR1C1		1q44	AMP	10	109	9.2%	No
DRAXIN		1p36.22	AMP	4	109	3.7%	No
TPSG1		16p13.3	AMP	14	109	12.8%	No
KRTAP25-1		21q22.11	HOMDEL	9	109	8.3%	No
RAB14		9q33.2	HOMDEL	3	109	2.8%	No
KLHL28		14q21.2	HOMDEL	2	109	1.8%	No
DKKL1		19q13.33	AMP	12	109	11.0%	No
IFFO2		1p36.13	AMP	2	109	1.8%	No
COL6A4P1		3p25.1	AMP	1	109	0.9%	No
CHUK		10q24.31	HOMDEL	1	109	0.9%	No
PARVB		22q13.31	AMP	3	109	2.8%	No
DNAJB2		2q35	HOMDEL	1	109	0.9%	No
STAM		10p12.33	HOMDEL	1	109	0.9%	No
DBF4B		17q21.31	HOMDEL	1	109	0.9%	No
FBXL19-AS1		16p11.2	HOMDEL	1	109	0.9%	No
PRDX5		11q13.1	AMP	16	109	14.7%	No
SIK1		21q22.3	AMP	1	109	0.9%	No
NPBWR2		20q13.33	HOMDEL	1	109	0.9%	No
SNAR-A4		19q13.33	HOMDEL	1	109	0.9%	No
ABRA		8q23.1	HOMDEL	2	109	1.8%	No
AKAP8		19p13.12	AMP	3	109	2.8%	No
TAF4B		18q11.2	AMP	9	109	8.3%	No
TMEM184B		22q13.1	AMP	6	109	5.5%	No
KLK2		19q13.33	HOMDEL	1	109	0.9%	Yes
NAA20		20p11.23	AMP	3	109	2.8%	No
KIF3B		20q11.21	AMP	3	109	2.8%	No
WDR5CP		4p14	AMP	2	109	1.8%	No
TRPT1		11q13.1	HOMDEL	3	109	2.8%	No
GPAT4		8p11.21	AMP	5	109	4.6%	No
RCC2		1p36.13	AMP	3	109	2.8%	No
OLA1		2q31.1	AMP	2	109	1.8%	No
ZFP3		17p13.2	HOMDEL	6	109	5.5%	No
PNN		14q21.1	AMP	4	109	3.7%	No
ACSM5		16p12.3	AMP	1	109	0.9%	No
GRM4		6p21.31	AMP	3	109	2.8%	No
OR5H6		3q11.2	AMP	1	109	0.9%	No
H2AX		11q23.3	AMP	8	109	7.3%	No
LRRC49		15q23	HOMDEL	3	109	2.8%	No
CDK2AP2		11q13.2	AMP	14	109	12.8%	No
CDH2		18q12.1	HOMDEL	19	109	17.4%	Yes
MEIS1		2p14	AMP	1	109	0.9%	No
GOLGA7		8p11.21	AMP	4	109	3.7%	No
SMPD2		6q21	AMP	5	109	4.6%	No
TAGLN		11q23.3	AMP	6	109	5.5%	No
ADIPOQ		3q27.3	AMP	3	109	2.8%	No
SKA2		17q23.2	HOMDEL	2	109	1.8%	No
DHCR7		11q13.4	AMP	7	109	6.4%	No
DNAJA1		9p21.1	HOMDEL	1	109	0.9%	No
LCP2		5q35.1	HOMDEL	1	109	0.9%	No
UBL3		13q12.3	AMP	3	109	2.8%	No
CZIB		1p32.3	AMP	4	109	3.7%	No
VWDE		7p21.3	AMP	1	109	0.9%	No
CACNA2D1		7q21.11	HOMDEL	2	109	1.8%	No
PSG9		19q13.31	AMP	9	109	8.3%	No
H2AC7		6p22.2	AMP	3	109	2.8%	No
FOXRED2		22q12.3	AMP	4	109	3.7%	No
OTUB2		14q32.12	HOMDEL	2	109	1.8%	No
GRM5		11q14.2-q14.3	AMP	2	109	1.8%	No
ZBTB38		3q23	AMP	2	109	1.8%	No
RNF183		9q32	AMP	2	109	1.8%	No
MEFV		16p13.3	AMP	5	109	4.6%	No
STING1		5q31.2	AMP	1	109	0.9%	No
GKN1		2p13.3	AMP	2	109	1.8%	No
SNORD91A		17p13.3	HOMDEL	8	109	7.3%	No
SCNN1A		12p13.31	HOMDEL	1	109	0.9%	No
ATP8B1-AS1		18q21.31	HOMDEL	19	109	17.4%	No
LINC01432		20p11.22	HOMDEL	3	109	2.8%	No
FBXL2		3p22.3	AMP	1	109	0.9%	No
GRM2		3p21.2	AMP	2	109	1.8%	No
H2AC8		6p22.2	AMP	3	109	2.8%	No
SEPTIN5		22q11.21	AMP	4	109	3.7%	Yes
ULK4		3p22.1	AMP	1	109	0.9%	No
INPP5J		22q12.2	AMP	4	109	3.7%	No
SOBP		6q21	AMP	2	109	1.8%	No
PSMG2		18p11.21	HOMDEL	4	109	3.7%	No
SF3A2		19p13.3	AMP	11	109	10.1%	No
OR1E2		17p13.2	HOMDEL	10	109	9.2%	No
IGSF6		16p12.2	AMP	1	109	0.9%	No
LINC00475		9q22.31	AMP	2	109	1.8%	No
TXN2		22q12.3	AMP	3	109	2.8%	No
PARD3		10p11.22-p11.21	AMP	1	109	0.9%	No
ODAM		4q13.3	HOMDEL	12	109	11.0%	No
TRIM17		1q42.13	AMP	17	109	15.6%	No
DTHD1		4p14	AMP	2	109	1.8%	No
SUMO3		21q22.3	AMP	4	109	3.7%	No
ZFYVE9		1p32.3	AMP	3	109	2.8%	No
NAA35		9q21.33	HOMDEL	4	109	3.7%	No
SNORD77		1q25.1	HOMDEL	2	109	1.8%	No
PRKG1		10q11.23-q21.1	HOMDEL	1	109	0.9%	No
OASL		12q24.31	HOMDEL	2	109	1.8%	No
SEC14L3		22q12.2	AMP	3	109	2.8%	No
MADCAM1		19p13.3	AMP	15	109	13.8%	No
CNN3		1p21.3	HOMDEL	4	109	3.7%	No
GRM3		7q21.11-q21.12	AMP	3	109	2.8%	Yes
SEPTIN4		17q22	AMP	2	109	1.8%	No
HCFC1R1		16p13.3	AMP	12	109	11.0%	No
KIF26B		1q44	AMP	16	109	14.7%	No
SF3B4		1q21.2	AMP	15	109	13.8%	No
TAF6		7q22.1	AMP	21	109	19.3%	No
ASAH2		10q11.23	HOMDEL	1	109	0.9%	No
HSD11B2		16q22.1	HOMDEL	3	109	2.8%	No
TM9SF2		13q32.3	AMP	1	109	0.9%	No
SLC25A2		5q31.3	AMP	4	109	3.7%	No
SUMO2		17q25	AMP	9	109	8.3%	No
ERF		19q13.2	AMP	15	109	13.8%	Yes
EIF4EBP1		8p11.23	AMP	6	109	5.5%	No
RAMP3		7p13	AMP	6	109	5.5%	No
NR2E3		15q23	AMP	5	109	4.6%	No
CYP2S1		19q13.2	AMP	16	109	14.7%	No
FOXA3		19q13.32	HOMDEL	1	109	0.9%	No
TIMM50		19q13.2	HOMDEL	1	109	0.9%	No
ERI3		1p34.1	AMP	4	109	3.7%	No
EBLN1		10p12.31	AMP	1	109	0.9%	No
CSDE1		1p13.2	AMP	2	109	1.8%	Yes
ALPK2		18q21.31-q21.32	HOMDEL	20	109	18.3%	No
PRMT1		19q13.33	AMP	13	109	11.9%	No
H1-6		6p22.2	AMP	3	109	2.8%	No
SNX5		20p11.23	HOMDEL	1	109	0.9%	No
NRSN2		20p13	AMP	9	109	8.3%	No
RAB5A		3p24.3	HOMDEL	4	109	3.7%	No
IRF3		19q13.33	HOMDEL	3	109	2.8%	No
TAF7		5q31.3	AMP	4	109	3.7%	No
PPT2		6p21.32	AMP	6	109	5.5%	No
TMEM125		1p34.2	AMP	4	109	3.7%	No
EML1		14q32.2	HOMDEL	3	109	2.8%	No
EIF4EBP2		10q22.1	AMP	4	109	3.7%	No
ZMPSTE24		1p34.2	AMP	4	109	3.7%	No
NAALAD2		11q14.3	AMP	2	109	1.8%	No
