Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
RBMS1		2q24.2	AMP	2	184	1.1%	No
ROPN1L-AS1		5p15.2	AMP	2	184	1.1%	No
SERHL2		22q13.2	AMP	3	184	1.6%	No
FAM86FP		12p13.31	AMP	3	184	1.6%	No
CDC23		5q31.2	AMP	2	184	1.1%	No
KMO		1q43	AMP	4	184	2.2%	No
RPL10A		6p21.31	AMP	1	184	0.5%	No
RNASE2		14q11.2	AMP	1	184	0.5%	No
MYBL1		8q13.1	AMP	7	184	3.8%	Yes
NPM1		5q35.1	AMP	2	184	1.1%	Yes
ANGPTL7		1p36.22	AMP	2	184	1.1%	No
LMNTD1		12p12.1	AMP	7	184	3.8%	No
CDH9		5p14.1	AMP	1	184	0.5%	No
CROCC		1p36.13	HOMDEL	2	184	1.1%	No
UBAP2L		1q21.3	AMP	7	184	3.8%	No
SEC24C		10q22.2	AMP	2	184	1.1%	No
MRPL20		1p36.33	HOMDEL	1	184	0.5%	No
VWC2L-IT1		2q35	AMP	3	184	1.6%	No
EDA2R		Xq12	HOMDEL	1	184	0.5%	No
TMEM68		8q12.1	AMP	5	184	2.7%	No
PTS		11q23.1	AMP	1	184	0.5%	No
ODAD1		19q13.33	AMP	2	184	1.1%	No
NAPRT		8q24.3	AMP	16	184	8.7%	No
FCER1A		1q23.2	AMP	6	184	3.3%	No
MYB		6q23.3	AMP	3	184	1.6%	Yes
RECK		9p13.3	AMP	10	184	5.4%	No
SH2D4A		8p21.3	HOMDEL	2	184	1.1%	No
MADD		11p11.2	AMP	2	184	1.1%	No
NCMAP		1p36.11	HOMDEL	2	184	1.1%	No
SEPTIN2		2q37.3	AMP	2	184	1.1%	No
NPHS1		19q13.12	AMP	6	184	3.3%	No
RNASE3		14q11.2	AMP	1	184	0.5%	No
APOL2		22q12.3	AMP	1	184	0.5%	No
LINC00708		10p14	AMP	2	184	1.1%	No
CDH10		5p14.2-p14.1	AMP	1	184	0.5%	No
ISG20		15q26.1	AMP	4	184	2.2%	No
KRT26		17q21.2	AMP	3	184	1.6%	No
WASHC5		8q24.13	AMP	20	184	10.9%	No
TMOD3		15q21.2	HOMDEL	1	184	0.5%	No
TSPAN8		12q21.1	AMP	6	184	3.3%	No
NUP155		5p13.2	AMP	1	184	0.5%	No
KIAA0513		16q24.1	AMP	2	184	1.1%	No
PTX3		3q25.32	AMP	3	184	1.6%	No
RBMS2		12q13.3	AMP	3	184	1.6%	No
KLRG1		12p13.31	AMP	3	184	1.6%	No
PINK1-AS		1p36.12	HOMDEL	2	184	1.1%	No
ZBTB10		8q21.13	AMP	7	184	3.8%	No
PRAMEF12		1p36.21	HOMDEL	2	184	1.1%	No
FNTA		8p11.21	AMP	7	184	3.8%	No
MS4A2		11q12.1	AMP	1	184	0.5%	No
H6PD		1p36.22	HOMDEL	2	184	1.1%	No
SNORA33		6q23.2	HOMDEL	1	184	0.5%	No
PDXK		21q22.3	AMP	1	184	0.5%	No
RNASE4		14q11.2	AMP	1	184	0.5%	No
PPM1K		4q22.1	AMP	1	184	0.5%	No
CHRNA5		15q25.1	AMP	2	184	1.1%	No
DEFB109A		8p23.1	HOMDEL	2	184	1.1%	No
CDH7		18q22.1	AMP	1	184	0.5%	No
MYO16-AS1		13q33.3	AMP	1	184	0.5%	No
TM4SF4		3q25.1	AMP	3	184	1.6%	No
LINC00572		13q12.3	AMP	1	184	0.5%	No
JADE3		Xp11.3	AMP	1	184	0.5%	No
ZNF628		19q13.42	AMP	4	184	2.2%	No
ENO1-AS1		1p36.23	AMP	4	184	2.2%	No
FBP1		9q22.32	AMP	1	184	0.5%	No
AP1B1P1		22q12.3	AMP	1	184	0.5%	No
ORC2		2q33.1	AMP	3	184	1.6%	No
DLK2		6p21.1	AMP	4	184	2.2%	No
TIMD4		5q33.3	AMP	2	184	1.1%	No
LINC01792		2q33.1	AMP	3	184	1.6%	No
RNASE6		14q11.2	AMP	1	184	0.5%	No
MXRA7		17q25.1	AMP	1	184	0.5%	No
BTNL10P		1q42.13	HOMDEL	1	184	0.5%	No
CAVIN2		2q32.3	AMP	1	184	0.5%	No
DTX2P1-UPK3BP1-PMS2P11		7q11.23	AMP	2	184	1.1%	No
AGO4		1p34.3	AMP	1	184	0.5%	No
LINC01210		3q22.3	AMP	1	184	0.5%	No
IRS1		2q36.3	AMP	3	184	1.6%	Yes
TESMIN		11q13.3	AMP	2	184	1.1%	No
PLEKHG5		1p36.31	AMP	3	184	1.6%	No
TSPAN6		Xq22.1	AMP	1	184	0.5%	No
SV2B		15q26.1	AMP	4	184	2.2%	No
FCAR		19q13.42	AMP	2	184	1.1%	No
KLRC4		12p13.2	AMP	4	184	2.2%	No
RRP1		21q22.3	AMP	1	184	0.5%	No
ACMSD		2q21.3	AMP	1	184	0.5%	No
LCDR		20p11.23	HOMDEL	1	184	0.5%	No
CNR2		1p36.11	AMP	1	184	0.5%	No
CHRNA3		15q25.1	AMP	2	184	1.1%	No
ZNF618		9q32	HOMDEL	1	184	0.5%	No
NPC1		18q11.2	AMP	24	184	13.0%	No
AFF2		Xq28	AMP	4	184	2.2%	No
FBN2		5q23.3	AMP	1	184	0.5%	No
HCG18		6p22.1	AMP	3	184	1.6%	No
ISG15		1p36.33	AMP	3	184	1.6%	No
FATE1		Xq28	AMP	4	184	2.2%	No
ID4		6p22.3	AMP	2	184	1.1%	No
AURKAIP1		1p36.33	HOMDEL	1	184	0.5%	No
HIF1AN		10q24.31	HOMDEL	1	184	0.5%	No
OR6C70		12q13.2	AMP	2	184	1.1%	No
ATP6V1G1		9q32	HOMDEL	1	184	0.5%	No
SUGT1P1		9p13.3	AMP	4	184	2.2%	No
CCDC178		18q12.1	AMP	4	184	2.2%	No
SINHCAF		12p11.21	AMP	9	184	4.9%	No
CDH6		5p13.3	AMP	2	184	1.1%	No
CHRNA4		20q13.33	AMP	2	184	1.1%	No
KIF5A		12q13.3	AMP	3	184	1.6%	No
XAGE2		Xp11.22	AMP	1	184	0.5%	No
HCG17		6p22.1	AMP	3	184	1.6%	No
GPR137B		1q42.3	AMP	3	184	1.6%	No
SLAMF9		1q23.2	AMP	6	184	3.3%	No
SULT2A1		19q13.33	HOMDEL	1	184	0.5%	No
FN1		2q35	AMP	3	184	1.6%	No
IRF7		11p15.5	AMP	1	184	0.5%	No
CCDC86		11q12.2	AMP	1	184	0.5%	No
USP32P1		17p11.2	AMP	1	184	0.5%	No
MYLK3		16q11.2	AMP	1	184	0.5%	No
KRTAP4-11		17q21.2	AMP	3	184	1.6%	No
LARRPM		6p22.2	AMP	1	184	0.5%	No
SPATA18		4q12	AMP	1	184	0.5%	No
PCDHGA3		5q31.3	AMP	2	184	1.1%	No
EPCIP		21q22.11	AMP	1	184	0.5%	No
USP17L20		4p16.1	AMP	1	184	0.5%	No
LINC01300		8q24.3	AMP	16	184	8.7%	No
RPL13A		19q13.33	AMP	2	184	1.1%	No
ACE2		Xp22.2	HOMDEL	1	184	0.5%	No
SRARP		1p36.13	HOMDEL	2	184	1.1%	No
RIBC2		22q13.31	AMP	1	184	0.5%	No
MAB21L4		2q37.3	AMP	2	184	1.1%	No
VPS52		6p21.32	AMP	1	184	0.5%	No
ADAM22		7q21.12	AMP	4	184	2.2%	No
CCDC191		3q13.31	AMP	1	184	0.5%	No
KIF17		1p36.12	AMP	1	184	0.5%	No
GATAD2A		19p13.11	AMP	1	184	0.5%	No
PCCA		13q32.3	AMP	1	184	0.5%	No
MRPL16		11q12.1	AMP	1	184	0.5%	No
THRB-AS1		3p24.2	AMP	1	184	0.5%	No
MRAP		21q22.11	AMP	1	184	0.5%	No
PCDHGA2		5q31.3	AMP	2	184	1.1%	No
LINC01553		10q21.2	AMP	1	184	0.5%	No
LINC00681		8p23.1	HOMDEL	2	184	1.1%	No
PSMD14-DT		2q24.2	AMP	2	184	1.1%	No
LINC02369		12q24.32	HOMDEL	1	184	0.5%	No
CNIH2		11q13.2	AMP	2	184	1.1%	No
ZNF681		19p12	AMP	1	184	0.5%	No
PHF13		1p36.31	AMP	3	184	1.6%	No
FAIM		3q22.3	AMP	1	184	0.5%	No
MYCT1		6q25.2	HOMDEL	1	184	0.5%	No
FOXD4L5		9q21.11	HOMDEL	2	184	1.1%	No
QPCTL		19q13.32	AMP	4	184	2.2%	No
PWAR1		15q11.2	HOMDEL	1	184	0.5%	No
DHRS13		17q11.2	AMP	1	184	0.5%	No
C5ORF63		5q23.2	AMP	1	184	0.5%	No
LTF		3p21.31	HOMDEL	1	184	0.5%	No
PCCB		3q22.3	AMP	1	184	0.5%	No
OR6C76		12q13.2	AMP	2	184	1.1%	No
LPCAT2		16q12.2	AMP	1	184	0.5%	No
PCDHGA1		5q31	AMP	2	184	1.1%	No
PLPPR4		1p21.3-p21.2	AMP	1	184	0.5%	No
TMEM179		14q32.33	HOMDEL	1	184	0.5%	No
FGF20		8p22	AMP	1	184	0.5%	No
C1ORF127		1p36.22	AMP	2	184	1.1%	No
SAG		2q37.1	AMP	2	184	1.1%	No
FOXD4L4		9q21.11	HOMDEL	2	184	1.1%	No
FAM135A		6q13	AMP	1	184	0.5%	No
AMPD3		11p15.4	AMP	1	184	0.5%	No
IFNG-AS1		12q15	AMP	6	184	3.3%	No
RMDN3		15q15.1	AMP	1	184	0.5%	No
LINC00526		18p11.31	HOMDEL	1	184	0.5%	No
TPRX1		19q13.33	AMP	1	184	0.5%	No
OR6C75		12q13.2	AMP	1	184	0.5%	No
PCDH1		5q31.3	AMP	2	184	1.1%	No
PUM3		9p24.2	HOMDEL	1	184	0.5%	No
SPATA31A5		9q12	AMP	3	184	1.6%	No
CEP78		9q21.2	HOMDEL	1	184	0.5%	No
SLC41A3		3q21.2-q21.3	AMP	1	184	0.5%	No
PRODH2		19q13.12	AMP	6	184	3.3%	No
MTCH2		11p11.2	AMP	2	184	1.1%	No
KAT6B		10q22.2	AMP	3	184	1.6%	Yes
NPC1L1		7p13	AMP	1	184	0.5%	No
RAP2C-AS1		Xq26.2	AMP	1	184	0.5%	No
RUFY1-AS1		5q35.3	AMP	2	184	1.1%	No
NDRG2		14q11.2	AMP	1	184	0.5%	No
IL1RAPL2		Xq22.3	AMP	1	184	0.5%	No
NAA20		20p11.23	HOMDEL	1	184	0.5%	No
MAGEA9B		Xq28	AMP	4	184	2.2%	No
SEC61A2		10p14	AMP	2	184	1.1%	No
MYC		8q24.21	AMP	23	184	12.5%	Yes
TBC1D3G		17q12	AMP	4	184	2.2%	No
AMPH		7p14.1	AMP	1	184	0.5%	No
RBBP7		Xp22.2	AMP	1	184	0.5%	No
YAF2		12q12	HOMDEL	1	184	0.5%	No
PCDHGC3		5q31.3	AMP	2	184	1.1%	No
LINC01933		5q33.1	AMP	2	184	1.1%	No
TAS2R31		12p13.2	AMP	4	184	2.2%	No
GPKOW		Xp11.23	HOMDEL	1	184	0.5%	No
KCNG4		16q24.1	AMP	2	184	1.1%	No
RNLS		10q23.31	HOMDEL	1	184	0.5%	No
LSM5		7p14.3	AMP	1	184	0.5%	No
AEN		15q26.1	AMP	4	184	2.2%	No
ABCA12		2q35	AMP	3	184	1.6%	No
NEIL2		8p23.1	AMP	6	184	3.3%	No
SALL2		14q11.2	AMP	1	184	0.5%	No
RBBP8		18q11.2	AMP	26	184	14.1%	No
BRD9		5p15.33	AMP	1	184	0.5%	No
SMIM23		5q35.1	AMP	2	184	1.1%	No
ISCA2		14q24.3	AMP	1	184	0.5%	No
CEACAM5		19q13.2	HOMDEL	1	184	0.5%	No
SYTL5		Xp11.4	HOMDEL	1	184	0.5%	No
ADPRH		3q13.33	AMP	2	184	1.1%	No
LINC03025		9p11.2	HOMDEL	2	184	1.1%	No
CAPRIN2		12p11.21	AMP	8	184	4.3%	No
OR6C1		12q13.2	AMP	1	184	0.5%	No
AKAIN1		18p11.31	AMP	2	184	1.1%	No
SGSM3		22q13.1	AMP	4	184	2.2%	No
ZCCHC10		5q31.1	AMP	2	184	1.1%	No
NBPF13P		1q21.1	AMP	8	184	4.3%	No
DGAT1		8q24.3	AMP	16	184	8.7%	No
ZRSR2		Xp22.2	HOMDEL	1	184	0.5%	Yes
CLECL1P		12p13.31	AMP	3	184	1.6%	No
AIF1L		9q34.12-q34.13	HOMDEL	1	184	0.5%	No
FAR2P1		2q21.1	AMP	1	184	0.5%	No
CERK		22q13.31	AMP	1	184	0.5%	No
PHOSPHO2-KLHL23		2q31.1	HOMDEL	1	184	0.5%	No
SHISA5		3p21.31	HOMDEL	1	184	0.5%	No
MYBPH		1q32.1	AMP	3	184	1.6%	No
ZNF253		19p13.11	AMP	1	184	0.5%	No
ARFGAP3		22q13.2	AMP	3	184	1.6%	No
RPL35A		3q29	AMP	4	184	2.2%	No
LRP10		14q11.2	AMP	1	184	0.5%	No
PTPRO		12p12.3	AMP	4	184	2.2%	Yes
ZNF471		19q13.43	AMP	3	184	1.6%	No
PARP1		1q42.12	AMP	3	184	1.6%	Yes
DEGS1		1q42.11	AMP	3	184	1.6%	No
IFNA6		9p21.3	HOMDEL	28	184	15.2%	No
DESI1		22q13.2	AMP	4	184	2.2%	No
TMEM44		3q29	AMP	3	184	1.6%	No
CYP4V2		4q35.1-q35.2	HOMDEL	1	184	0.5%	No
PROCA1		17q11.2	AMP	1	184	0.5%	No
MYBPC3		11p11.2	AMP	2	184	1.1%	No
CLEC12A		12p13.31	AMP	3	184	1.6%	No
ACAP2		3q29	AMP	3	184	1.6%	No
CRTC3		15q26.1	AMP	4	184	2.2%	Yes
PCDHGA5		5q31	AMP	2	184	1.1%	No
CSRNP1		3p22.2	AMP	1	184	0.5%	No
SALL1		16q12.1	AMP	1	184	0.5%	No
OR2AE1		7q22.1	AMP	6	184	3.3%	No
RBL2		16q12.2	AMP	1	184	0.5%	No
NELFB		9q34.3	AMP	1	184	0.5%	No
ZNF337		20p11.21	AMP	1	184	0.5%	No
PTPRR		12q15	AMP	6	184	3.3%	No
REX1BD		19p13.11	AMP	1	184	0.5%	No
FCGR1A		1q21.2	AMP	8	184	4.3%	No
MARCHF4		2q35	AMP	3	184	1.6%	No
IZUMO1		19q13.33	AMP	2	184	1.1%	No
TMEM134		11q13.2	AMP	1	184	0.5%	No
PARP4		13q12.12	AMP	1	184	0.5%	No
GRAMD2B		5q23.2	AMP	1	184	0.5%	No
APOBEC3C		22q13.1	AMP	1	184	0.5%	No
TPRG1L		1p36.32	HOMDEL	1	184	0.5%	No
LINC00052		15q25.3	AMP	4	184	2.2%	No
LINC03017		7q21.11	AMP	2	184	1.1%	No
MYBPC2		19q13.33	AMP	2	184	1.1%	No
FBXO15		18q22.3	HOMDEL	5	184	2.7%	No
NEDD9		6p24.2	AMP	2	184	1.1%	No
NUP210P1		3q21.3	AMP	1	184	0.5%	No
BTNL2		6p21.32	AMP	4	184	2.2%	No
GINS3		16q21	AMP	1	184	0.5%	No
PCDHGA4		5q31	AMP	2	184	1.1%	No
ARHGAP45		19p13.3	AMP	1	184	0.5%	No
PLA2G15		16q22.1	AMP	1	184	0.5%	No
RPL37		5p13.1	AMP	2	184	1.1%	No
THSD7A		7p21.3	AMP	1	184	0.5%	No
TOX		8q12.1	AMP	5	184	2.7%	No
RBM3		Xp11.23	AMP	1	184	0.5%	No
ERAL1		17q11.2	AMP	1	184	0.5%	No
NAT9		17q25.2	AMP	2	184	1.1%	No
TMX3		18q22.1	HOMDEL	7	184	3.8%	No
SPMIP8		16q21	AMP	1	184	0.5%	No
VPS37C		11q12.2	AMP	1	184	0.5%	No
SYNJ2-IT1		6q25.3	HOMDEL	1	184	0.5%	No
MAMSTR		19q13.33	AMP	2	184	1.1%	No
CCDC158		4q21.1	AMP	1	184	0.5%	No
OR4M2-OT1		15q11.2	HOMDEL	1	184	0.5%	No
RASGEF1B		4q21.21	AMP	1	184	0.5%	No
ZSCAN18		19q13.43	AMP	3	184	1.6%	No
TMEM254		10q22.3	AMP	3	184	1.6%	No
SDHAF2		11q12.2	AMP	1	184	0.5%	Yes
PRSS40A		2q21.1	AMP	1	184	0.5%	No
KBTBD11		8p23.3	HOMDEL	4	184	2.2%	No
PPY2P		17q11.2	AMP	1	184	0.5%	No
NANOG		12p13.31	AMP	4	184	2.2%	No
GTF2H5		6q25.3	HOMDEL	1	184	0.5%	No
REP15		12p11.22	AMP	6	184	3.3%	No
MAF1		8q24.3	HOMDEL	1	184	0.5%	No
NTNG2		9q34.13	HOMDEL	1	184	0.5%	No
FAM110A		20p13	AMP	1	184	0.5%	No
CNTNAP2		7q35-q36.1	HOMDEL	1	184	0.5%	No
TMUB2		17q21.31	AMP	4	184	2.2%	No
OR1L4		9q33.2	HOMDEL	1	184	0.5%	No
RBMXL3		Xq23	AMP	1	184	0.5%	No
CADM4		19q13.31	AMP	4	184	2.2%	No
AFAP1-AS1		4p16.1	AMP	1	184	0.5%	No
TARS3		15q26.3	AMP	4	184	2.2%	No
ITGA9		3p22.2	AMP	1	184	0.5%	No
ZC3H12B		Xq11.2-q12	HOMDEL	1	184	0.5%	No
ADRA1B		5q33.3	AMP	2	184	1.1%	No
NUF2		1q23.3	AMP	6	184	3.3%	Yes
LINC02369		12q24.32	AMP	1	184	0.5%	No
SWI5		9q34.11	HOMDEL	1	184	0.5%	No
TNRC6C		17q25.3	AMP	1	184	0.5%	No
TWF1		12q12	HOMDEL	1	184	0.5%	No
GLDC		9p24.1	HOMDEL	2	184	1.1%	No
PPP6R3		11q13	AMP	2	184	1.1%	No
LINC00924		15q26.2	AMP	4	184	2.2%	No
ARHGAP33		19q13.12	AMP	6	184	3.3%	No
INAFM1		19q13.32	AMP	1	184	0.5%	No
SPEF2		5p13.2	AMP	1	184	0.5%	No
ZDHHC2		8p22	AMP	1	184	0.5%	No
SH3BP1		22q13.1	AMP	1	184	0.5%	No
HTR3A		11q23.2	HOMDEL	1	184	0.5%	No
ADRA1A		8p21.2	AMP	1	184	0.5%	No
SNX3		6q21	HOMDEL	1	184	0.5%	No
LY6D		8q24.3	HOMDEL	1	184	0.5%	No
DEFB109B		8p23.1	HOMDEL	3	184	1.6%	No
BCYRN1		2p21	HOMDEL	1	184	0.5%	No
PINK1-AS		1p36.12	AMP	1	184	0.5%	No
KIAA1586		6p12.1	AMP	3	184	1.6%	No
PPP2CB		8p12	HOMDEL	1	184	0.5%	No
CIZ1		9q34.11	HOMDEL	1	184	0.5%	No
BRF2		8p11.23	AMP	7	184	3.8%	No
UXT-AS1		Xp11.23	HOMDEL	1	184	0.5%	No
PARP10		8q24.3	AMP	16	184	8.7%	No
POLR3K		16p13.3	HOMDEL	1	184	0.5%	No
PYY2		17q11.2	AMP	1	184	0.5%	No
LSR		19q13.12	AMP	7	184	3.8%	No
PRR32		Xq25	AMP	1	184	0.5%	No
CPA4		7q32.2	AMP	1	184	0.5%	No
OR2L1P		1q44	AMP	4	184	2.2%	No
KCNAB3		17p13.1	HOMDEL	1	184	0.5%	No
NRSN2-AS1		20p13	AMP	1	184	0.5%	No
LINC01864		19q13.43	AMP	4	184	2.2%	No
MYO5C		15q21.2	HOMDEL	1	184	0.5%	No
EXD3		9q34.3	AMP	1	184	0.5%	No
DEFB124		20q11.21	AMP	1	184	0.5%	No
LINC00207		22q13.31	AMP	2	184	1.1%	No
PCLO		7q21.11	AMP	2	184	1.1%	Yes
PNPO		17q21.32	AMP	4	184	2.2%	No
ANKRD52		12q13.3	AMP	3	184	1.6%	No
OR2L2		1q44	AMP	4	184	2.2%	No
DDX47		12p13.1	AMP	4	184	2.2%	No
NGRN		15q26.1	AMP	5	184	2.7%	No
LINC01743		1q44	AMP	4	184	2.2%	No
LRRC58		3q13.33	AMP	2	184	1.1%	No
PADI3		1p36.13	HOMDEL	2	184	1.1%	No
SLC11A2		12q13.12	HOMDEL	1	184	0.5%	No
WASH8P		12p13.33	AMP	8	184	4.3%	No
H2BW4P		Xq22.2	AMP	1	184	0.5%	No
DEFB123		20q11.21	AMP	1	184	0.5%	No
PPP1R16A		8q24.3	HOMDEL	1	184	0.5%	No
KLHL26		19p13.11	AMP	1	184	0.5%	No
PIAS2		18q21.1	HOMDEL	5	184	2.7%	No
LINC00941		12p11.21	AMP	8	184	4.3%	No
EXOSC6		16q22.1	AMP	1	184	0.5%	Yes
UPK3A		22q13.31	AMP	1	184	0.5%	No
LEPROTL1		8p12	HOMDEL	1	184	0.5%	No
OR2M4		1q44	AMP	4	184	2.2%	No
CDA		1p36.12	HOMDEL	2	184	1.1%	No
CARINH		5q31.1	AMP	2	184	1.1%	No
CCDC69		5q33.1	AMP	2	184	1.1%	No
MAP6D1		3q27.1	AMP	3	184	1.6%	No
MRPL12		17q25.3	AMP	1	184	0.5%	No
ACP6		1q21.2	AMP	8	184	4.3%	No
MS4A4A		11q12.2	AMP	1	184	0.5%	No
EMBP1		1p11.2	AMP	8	184	4.3%	No
HAUS4		14q11.2	AMP	1	184	0.5%	No
FBXW7		4q31.3	AMP	1	184	0.5%	Yes
PPIC		5q23.2	HOMDEL	1	184	0.5%	No
DEFB128		20p13	AMP	1	184	0.5%	No
UQCRB		8q22.1	AMP	8	184	4.3%	No
TACO1		17q23.3	AMP	3	184	1.6%	No
NUDT11		Xp11.22	HOMDEL	2	184	1.1%	No
DNAJC24		11p13	AMP	1	184	0.5%	No
LRRC69		8q21.3	AMP	8	184	4.3%	No
CARD16		11q22.3	AMP	1	184	0.5%	No
MRPS12		19q13.2	AMP	14	184	7.6%	No
THEM6		8q24.3	AMP	16	184	8.7%	No
ZIM2		19q13.43	AMP	3	184	1.6%	No
GTSCR1		18q22.2	HOMDEL	5	184	2.7%	No
RNH1		11p15.5	AMP	1	184	0.5%	No
FLVCR2-AS1		14q24.3	AMP	1	184	0.5%	No
ARHGEF10L		1p36.13	AMP	1	184	0.5%	No
CNDP1		18q22.3	HOMDEL	4	184	2.2%	No
SCHIP1		3q25.33	AMP	4	184	2.2%	No
PDIK1L		1p36.11	HOMDEL	2	184	1.1%	No
KRT2		12q13.13	HOMDEL	1	184	0.5%	No
SEPTIN4-AS1		17q22	AMP	1	184	0.5%	No
ZC3H10		12q13.2	AMP	3	184	1.6%	No
DEFB125		20p13	AMP	1	184	0.5%	No
CEL		9q34.13	HOMDEL	1	184	0.5%	No
FUT9		6q16.1	AMP	1	184	0.5%	No
FCRL5		1q23.1	AMP	7	184	3.8%	No
PPP1R26-AS1		9q34.3	HOMDEL	1	184	0.5%	No
CXCL13		4q21.1	AMP	1	184	0.5%	No
CKM		19q13.32	AMP	5	184	2.7%	No
CTAGE4		7q35	AMP	1	184	0.5%	No
LINC00892		Xq26.3	AMP	2	184	1.1%	No
INTS6L		Xq26.3	AMP	2	184	1.1%	No
IDI1		10p15.3	AMP	1	184	0.5%	No
PSTPIP2		18q21.1	HOMDEL	5	184	2.7%	No
MIOX		22q13.33	HOMDEL	3	184	1.6%	No
LACTBL1		1p36.12	HOMDEL	2	184	1.1%	No
OR2T6		1q44	HOMDEL	1	184	0.5%	No
LDLRAP1		1p36.11	AMP	1	184	0.5%	No
LBHD1		11q12.3	AMP	1	184	0.5%	No
NPTX2		7q22.1	AMP	7	184	3.8%	No
FDPS		1q22	AMP	7	184	3.8%	No
SNORA84		9q22.31	HOMDEL	1	184	0.5%	No
GOLGA8IP		15q11.2	HOMDEL	1	184	0.5%	No
SNORD116-26		15q11.2	HOMDEL	1	184	0.5%	No
RBMX		Xq26.3	AMP	2	184	1.1%	No
IDH3G		Xq28	AMP	4	184	2.2%	No
KRTAP4-4		17q21.2	AMP	3	184	1.6%	No
ZNF449		Xq26.3	AMP	2	184	1.1%	No
FPR1		19q13.41	AMP	2	184	1.1%	No
CDKN2B		9p21.3	HOMDEL	50	184	27.2%	Yes
TMEM147		19q13.12	AMP	6	184	3.3%	No
RAET1E-AS1		6q25.1	HOMDEL	1	184	0.5%	No
LINC00847		5q35.3	AMP	2	184	1.1%	No
NEK2		1q32.3	AMP	3	184	1.6%	No
NPTX1		17q25.3	AMP	1	184	0.5%	No
CLDN20		6q25.3	HOMDEL	1	184	0.5%	No
CLVS1		8q12.2-q12.3	AMP	6	184	3.3%	No
LINC00851		20p11.23	HOMDEL	1	184	0.5%	No
RBFADN		18q23	HOMDEL	4	184	2.2%	No
FOSB		19q13.32	AMP	4	184	2.2%	No
TEKT3		17p12	AMP	1	184	0.5%	No
TBPL1		6q23.2	AMP	1	184	0.5%	No
ADCY6-DT		12q13.12	AMP	1	184	0.5%	No
TUBB6		18p11.21	AMP	5	184	2.7%	No
SLC19A2		1q24.2	AMP	6	184	3.3%	No
CD52		1p36.11	HOMDEL	2	184	1.1%	No
CCT6B		17q12	AMP	5	184	2.7%	Yes
MLPH		2q37.3	AMP	2	184	1.1%	No
WASH3P		15q26.3	AMP	4	184	2.2%	No
TANC2		17q23.2-q23.3	AMP	5	184	2.7%	No
LINC02067		3q26.1	AMP	4	184	2.2%	No
NPR3		5p13.3	AMP	1	184	0.5%	No
CNPY3		6p21.1	AMP	3	184	1.6%	No
LINC00612		12p13.31	AMP	3	184	1.6%	No
DAPL1		2q24.1	AMP	2	184	1.1%	No
FSHB		11p14.1	AMP	1	184	0.5%	No
FDFT1		8p23.1	AMP	6	184	3.3%	No
ACSBG2		19p13.3	HOMDEL	1	184	0.5%	No
RPL23AP53		8p23.3	HOMDEL	4	184	2.2%	No
LINC01987		17q25.3	AMP	1	184	0.5%	No
OR52M1		11p15.4	HOMDEL	1	184	0.5%	No
PDE6C		10q23.33	HOMDEL	1	184	0.5%	No
GSTO1		10q25.1	HOMDEL	1	184	0.5%	No
IFI44		1p31.1	AMP	1	184	0.5%	No
LINGO2		9p21.2-p21.1	AMP	3	184	1.6%	No
KLHL3		5q31.2	AMP	2	184	1.1%	No
RABAC1		19q13.2	AMP	2	184	1.1%	No
LINC01016		6p21.31	AMP	2	184	1.1%	No
NPR2		9p13.3	AMP	11	184	6.0%	No
NKIRAS2		17q21.2	AMP	3	184	1.6%	No
LYPLA1		8q11.23	AMP	5	184	2.7%	No
LINC01531		19q13.12	AMP	7	184	3.8%	No
NALF2		Xq13.1	HOMDEL	1	184	0.5%	No
IKBKB		8p11.21	AMP	2	184	1.1%	Yes
TMEM132E-DT		17q12	AMP	3	184	1.6%	No
COL4A5		Xq22.3	AMP	1	184	0.5%	No
LMBR1L		12q13.12	HOMDEL	1	184	0.5%	No
CDK6		7q21.2	AMP	8	184	4.3%	Yes
CENPX		17q25.3	AMP	1	184	0.5%	No
LINC00963		9q34.11	HOMDEL	1	184	0.5%	No
EOLA1		Xq28	AMP	4	184	2.2%	No
NPR1		1q21.3	AMP	7	184	3.8%	No
NKIRAS1		3p24.2	AMP	1	184	0.5%	No
SRRT		7q22.1	AMP	6	184	3.3%	No
RPA2		1p35.3	HOMDEL	2	184	1.1%	No
PHF2		9q22.31	HOMDEL	1	184	0.5%	No
FOS		14q24.3	AMP	1	184	0.5%	No
C1ORF115		1q41	HOMDEL	1	184	0.5%	No
IK		5q31.3	AMP	2	184	1.1%	No
PARD6B		20q13.13	AMP	2	184	1.1%	No
PHACTR3-AS1		20q13.32	AMP	3	184	1.6%	No
ZBTB45		19q13.43	AMP	3	184	1.6%	No
PACRG-AS2		6q26	HOMDEL	1	184	0.5%	No
TBCB		19q13.12	AMP	6	184	3.3%	No
COL4A6		Xq22.3	AMP	1	184	0.5%	No
ATP8B4		15q21.2	HOMDEL	1	184	0.5%	No
CUTA		6p21.32	AMP	1	184	0.5%	No
NUS1		6q22.1	HOMDEL	1	184	0.5%	No
NPPC		2q37.1	AMP	3	184	1.6%	No
RBM14		11q13.2	AMP	1	184	0.5%	No
TCEAL4		Xq22.2	AMP	1	184	0.5%	No
GPR89B		1q21.2	AMP	8	184	4.3%	No
LRRC38		1p36.21	AMP	2	184	1.1%	No
