Gene,49,Experimentally validated?,Studies in pancreatic cancer,RP-LIT score,GPT-LIT score,CHATGPT score,Weighted score,Mutationfrequency(cBioportalTCGAPanCancerAtlas),GETlistscore,GTlistscore,Expressionlistscore,Weighted Mutationfrequency(cBioportalTCGAPanCancerAtlas) score,weighted CNA(CBIOPORTALTCGAPANCANCERATLAS)score,weighted Mutationfrequency(CbioportalUTSWNatCommun2015) score,weighted CNA(CBIOPORTALUTSWNATCOMMUN2015,Combined weighted score (all BEERE lists),cumulative weighted organ expression score,Mutationfrequency(CbioportalUTSWNatCommun2015),CNA(CBIOPORTALTCGAPANCANCERATLAS),CNA(CBIOPORTALUTSWNATCOMMUN2015,weighted GETlistscore,GETlistrank,weighted GTlistscore,weighted GTlistscore,GTlistrank,weighted Expression listscore,Expressionlistrank,brain expression,Weighted brain expression score,gastrointestinal expression,weighted gastrointestinal expression score,liver expression,weighted liver expression score,kidney expression,weighted kidney expression score,studies of gene in pancreatic cancer(last 10 years),Occurance,,,,
PDGFRB,,,,,,215,-0.6,1.1,41,0,42,0.0869,0.0528,-0.0207,0.5628,7.1172,-8.3754,0.9,1.1,2.8,3.4476,206,0,0,0,3.6696,171,15,-0.765,25,-2.375,13.1,-1.3231,48.3,-3.9123,,5,,,,
IGF1R,,,,,,210,-0.6,0.6,0,0,0,0.0474,0.1056,-0.0414,1.2864,0,-1.9976,1.8,2.2,6.4,0,0,0,0,0,0,na,6,-0.306,7.3,-0.6935,0.9,-0.0909,11.2,-0.9072,,1,,,,
AURKA,,,,,,255,-0.6,1.1,0,0,0,0.0869,0.0768,0,0.9246,0,-1.6982,0,1.6,4.6,0,0,0,0,0,0,na,1.1,-0.0561,10.2,-0.969,4.9,-0.4949,2.2,-0.1782,,3,,,,
GABRB3,,,,,,180,-0.6,1.7,2,0,2,0.1343,0.024,-0.0414,0.1809,0.2907,-1.2095,1.8,0.5,0.9,0.1411,3724,0,0,0,0.1496,2904,9,-0.459,1.4,-0.133,0.5,-0.0505,7,-0.567,,1,,,,
GABRA5,,,,,,180,-0.7,0.6,0,0,0,0.0474,0.024,0,0.1809,0,-0.9457,0,0.5,0.9,0,0,0,0,0,0,na,18,-0.918,0.1,-0.0095,0.1,-0.0101,0.1,-0.0081,,1,,,,
LIG3,,,,,,190,-0.8,1.1,2,0,2,0.0869,0.1056,0,0.5628,0.38761,-1.9595,0,2.2,2.8,0.18785,2769,0,0,0,0.19976,2175,5,-0.255,6,-0.57,6.1,-0.6161,6.4,-0.5184,,,,,,
ATP2B3,,,,,,180,-0.8,0.6,1,0,1,0.0474,0.1296,0,0,0.16484,-1.173,0,2.7,0,0.0918,5619,0,0,0,0.07304,6211,23,-1.173,0,0,0,0,0,0,,1,,,,
HRH1,,,,,,180,-0.9,0,0,0,0,0,0,0,0.1809,0,-1.0593,0,0,0.9,0,0,0,0,0,0,na,3,-0.153,5.3,-0.5035,0.7,-0.0707,4.1,-0.3321,,1,,,,
HDAC10,,,,,,205,-0.9,0,0,0,0,0,0.0768,0,2.7738,0,-3.7824,0,1.6,13.8,0,0,0,0,0,0,na,6,-0.306,9.8,-0.931,16.3,-1.6463,11.1,-0.8991,,3,,,,
BRAF,,,,,,230,-0.9,1.1,8,0,8,0.0869,0.024,-0.0644,0.1809,1.35404,-2.5228,2.8,0.5,0.9,0.6562,665,0,0,0,0.69784,497,12,-0.612,7,-0.665,6.4,-0.6464,7.4,-0.5994,,4,,,,
STK36,,,,,,180,-1,0.6,1,0,1,0.0474,0.0528,-0.0207,0.7437,0.14189,-1.9949,0.9,1.1,3.7,0.06885,7142,0,0,0,0.07304,6152,5.9,-0.3009,7.1,-0.6745,4.4,-0.4444,7.1,-0.5751,,1,,,,2
TYMS,,,,,,240,-1.1,0.6,6,0,6,0.0474,0.1056,-0.0207,1.1055,1.08453,-3.4487,0.9,2.2,5.5,0.53805,839,0,0,0,0.54648,664,6.9,-0.3519,15,-1.425,11.5,-1.1615,6.3,-0.5103,,7,,,,
ABCC1,,,,,,200,-1.2,0.6,1,0,0,0.0474,0,0,0.3618,0.068,-1.6362,0,0,1.8,0.068,7275,0,0,0,0,na,2.1,-0.1071,7,-0.665,2.3,-0.2323,7.8,-0.6318,,1,,,,
GABRB2,,,,,,170,-1.3,0,1,0,1,0,0.0528,-0.0414,0.1809,0.14623,-1.6132,1.8,1.1,0.9,0.07055,6364,0,0,0,0.07568,5359,28,-1.428,0.5,-0.0475,0,0,1.7,-0.1377,,1,,,,
FRK,,,,,,215,-1.3,0.6,2,0,2,0.0474,0.024,-0.0207,0.1809,0.30676,-1.8624,0.9,0.5,0.9,0.1598,3461,0,0,0,0.14696,3143,0.7,-0.0357,4.9,-0.4655,6.5,-0.6565,8.7,-0.7047,,1,,,,
FLT1,,,,,,240,-1.3,1.7,25,0,25,0.1343,0.024,0,0.7437,4.38546,-6.6308,0,0.5,3.7,2.1573,353,0,0,0,2.22816,263,24,-1.224,10,-0.95,17.1,-1.7271,33.7,-2.7297,,8,,,,
PTPRU,,,,,,160,-1.4,0.6,1,0,1,0.0474,0.0528,0,0.3618,0.1964,-2.0306,0,1.1,1.8,0.0952,4955,0,0,0,0.1012,4057,11,-0.561,2,-0.19,8.9,-0.8989,4.7,-0.3807,,1,,,,
GRIA1,,,,,,150,-1.4,1.1,2,0,2,0.0869,0.0528,-0.0414,0.1809,0.36213,-2.0272,1.8,1.1,0.9,0.21165,2470,0,0,0,0.15048,2851,38,-1.938,0.3,-0.0285,0.2,-0.0202,0.5,-0.0405,,1,,,,
GABRA6,,,,,,150,-1.5,0.6,0,0,0,0.0474,0.0528,0,0.1809,0,-1.734,0,1.1,0.9,0,0,0,0,0,0,na,34,-1.734,0,0,0,0,0,0,,1,,,,
SMO,,,,,,180,-1.5,1.1,1,0,0,0.0869,0.024,-0.0207,3.1356,0.06885,-4.7788,0.9,0.5,15.6,0.06885,7131,0,0,0,0,na,7,-0.357,6,-0.57,23.3,-2.3533,18.5,-1.4985,,1,,,,
ATP2B2,,,,,,150,-1.6,1.1,2,0,1,0.0869,0,-0.0414,0.5628,0.21162,-2.373,1.8,0,2.8,0.1377,3990,0,0,0,0.07392,6072,7,-0.357,0,0,19.8,-1.9998,0.2,-0.0162,,1,,,,
RARB,,,,,,165,-1.6,0.6,2,0,2,0.0474,0.024,0,0.1809,0.30842,-2.1521,0,0.5,0.9,0.1377,3998,0,0,0,0.17072,2720,4,-0.204,3,-0.285,5.8,-0.5858,13.3,-1.0773,,1,,,,
ACVR1,,,,,,165,-1.7,1.1,22,0,3,0.0869,0.0528,0,0.3618,2.15306,-4.3505,0,1.1,1.8,1.8785,399,0,0,0,0.27456,1510,10,-0.51,10.2,-0.969,16,-1.616,15.5,-1.2555,,1,,,,
P3H1,,,,,,150,-1.7,0.6,0,0,0,0.0474,0,0,0.9246,0,-2.6724,0,0,4.6,0,0,0,0,0,0,na,4,-0.204,6.3,-0.5985,12.9,-1.3029,7,-0.567,,1,,,,
DDR2,,,,,,165,-1.7,1.1,2,0,2,0.0869,0.1584,0,2.0301,0.37723,-4.3804,0,3.3,10.1,0.18275,2992,0,0,0,0.19448,2347,8,-0.408,31,-2.945,5.2,-0.5252,6.2,-0.5022,,1,,,,
SSTR1,,,,,,165,-1.8,0.6,1,0,0,0.0474,0,-0.0207,0.7437,0.11135,-2.6566,0.9,0,3.7,0.11135,4864,0,0,0,0,na,6,-0.306,16,-1.52,6.7,-0.6767,1.9,-0.1539,,3,,,,
LIMK1,,,,,,150,-1.9,0,4,0,4,0,0.0528,0,2.3919,0.7605,-5.1144,0,1.1,11.9,0.3689,1344,0,0,0,0.3916,1061,62,-3.162,6.9,-0.6555,4.5,-0.4545,10.4,-0.8424,,1,,,,
FNTB,,,,,,150,-2,0,1,0,1,0,0,0,0.3618,0.1683,-2.49805,0,0,1.8,0.0935,5222,0,0,0,0.0748,5374,15,-0.765,5.5,-0.5225,5.65,-0.57065,7.9,-0.6399,,1,,,,
OGFOD1,,,,,,150,-2,0,0,0,0,0,0.024,-0.0207,0.5628,0,-2.5562,0.9,0.5,2.8,0,0,0,0,0,0,na,5,-0.255,7.3,-0.6935,8.7,-0.8787,9,-0.729,,1,,,,
PDPK1,,,,,,150,-2,0,8,0,8,0,0,0,1.6683,1.40817,-5.0975,0,0,8.3,0.71825,625,0,0,0,0.68992,508,22,-1.122,15,-1.425,12.1,-1.2221,16.4,-1.3284,,2,,,,
CDH11,,,,,,150,-2.1,1.7,0,0,0,0.1343,0,-0.0644,0.3618,0,-2.4857,2.8,0,1.8,0,0,0,0,0,0,na,8.2,-0.4182,11.6,-1.102,1.7,-0.1717,9.8,-0.7938,,2,,,,
DBH,,,,,,150,-2.2,0.6,1,0,0,0.0474,0.024,-0.0414,1.2864,0.0697,-3.6115,1.8,0.5,6.4,0.0697,6847,0,0,0,0,na,0.2,-0.0102,0.4,-0.038,35.2,-3.5552,0.1,-0.0081,,1,,,,40
ATP2C2,,,,,,150,-2.2,1.1,0,0,0,0.0869,0.0528,-0.0207,0.1809,0,-2.5298,0.9,1.1,0.9,0,0,0,0,0,0,na,2,-0.102,24,-2.28,0.1,-0.0101,1.7,-0.1377,,1,,,,
LYN,,,,,,150,-2.5,0,10,0,10,0,0.1296,0,0.7437,1.73043,-5.0756,0,2.7,3.7,0.86275,567,0,0,0,0.86768,403,4.8,-0.2448,31,-2.945,14.1,-1.4241,5.7,-0.4617,,1,,,,
MAPK10,,,,,,150,-2.6,0.6,5,1,5,0.0474,0,-0.0207,0.3618,0.56793,-4.9351,0.9,0,1.8,0.45985,1022,-0.06656,-0.3328,833,0.44088,895,48,-2.448,6.3,-0.5985,2.9,-0.2929,19.7,-1.5957,,1,,,,
SLC5A2,,,,,,150,-2.7,1.7,0,0,0,0.1343,0,0,1.4673,0,-4.2782,0,0,7.3,0,0,0,0,0,0,na,0,0,0.1,-0.0095,0,0,52.7,-4.2687,,1,,,,
FCGR2A,,,,,,180,-2.7,0,0,0,2,0,0.1584,0,2.211,0.198,-5.3099,0,3.3,11,0,0,0,0,0,0.198,2249,24,-1.224,17,-1.615,14.6,-1.4746,12.3,-0.9963,,3,,,,
FCGR2B,,,,,,180,-2.9,1.1,0,0,0,0.0869,0.1584,0,2.211,0,-5.34341,0,3.3,11,0,0,0,0,0,0,na,1.01,-0.05151,8.3,-0.7885,41.3,-4.1713,4.1,-0.3321,,2,,,,
DCK,,,,,,225,-3.2,0,0,0,0,0,0,0,0.1809,0,-3.3682,0,0,0.9,0,0,0,0,0,0,na,9.3,-0.4743,12.9,-1.2255,8.9,-0.8989,9.5,-0.7695,,1,,,,
OGFOD2,,,,,,150,-3.2,0.6,1,0,0,0.0474,0,0,1.4673,0.0714,-4.7841,0,0,7.3,0.0714,5929,0,0,0,0,na,8.7,-0.4437,12,-1.14,20.7,-2.0907,13.7,-1.1097,,1,,,,2
MAP2K4,,,,,,205,-3.5,2.2,5,1.4,5,0.1738,0.1056,-0.0207,0.3618,0.38921,-6.2939,0.9,2.2,1.8,0.41225,1178,-0.08768,-0.4384,517,0.41536,984,36,-1.836,11,-1.045,21.2,-2.1412,15.7,-1.2717,,1,,,,
GABRP,,,,,,180,-3.6,0,0,0,0,0,0.0528,-0.0207,0.3618,0,-3.9674,0.9,1.1,1.8,0,0,0,0,0,0,na,2.6,-0.1326,28,-2.66,6.9,-0.6969,5.9,-0.4779,,1,,,,
JAK1,,,,,,235,-3.8,0.6,50,0,51,0.0474,0,-0.0207,0.5628,8.70935,-13.0986,0.9,0,2.8,4.23895,143,0,0,0,4.4704,123,23,-1.173,40,-3.8,51.5,-5.2015,36.1,-2.9241,,3,,,,
RRM1,,,,,,220,-3.8,1.1,4,0,3,0.0869,0.024,0,0.5628,0.56078,-5.0588,0,0.5,2.8,0.3179,1613,0,0,0,0.24288,1850,6,-0.306,20,-1.9,17.9,-1.8079,12.9,-1.0449,,3,,,,
ATP2B4,,,,,,180,-3.9,0,2,0,1,0,0.0768,0,0.9246,0.25921,-5.1265,0,1.6,4.6,0.16065,3436,0,0,0,0.09856,4595,8,-0.408,32,-3.04,9,-0.909,9.5,-0.7695,,1,,,,
TMLHE,,,,,,180,-3.9,0,1,0,1,0,0.1056,0,0,0.1666,-4.2115,0,2.2,0,0.0918,5726,0,0,0,0.0748,5608,4.2,-0.2142,9,-0.855,18.2,-1.8382,16.1,-1.3041,,1,,,,
PPARG,,,,,,230,-4.1,0,9,0,7,0,0,-0.0207,0.1809,1.41916,-5.6357,0.9,0,0.9,0.8058,584,0,0,0,0.61336,585,3,-0.153,28,-2.66,16.8,-1.6968,13.9,-1.1259,,1,,,,
MAPK9,,,,,,215,-4.1,0.6,8,1.4,9,0.0474,0.0528,0,0.3618,1.0055,-7.3565,0,1.1,1.8,0.6851,643,-0.0864,-0.432,616,0.7524,458,37,-1.887,22,-2.09,17.1,-1.7271,20.4,-1.6524,,1,,,,
IL6R,,,,,,225,-4.1,0,3,0,3,0,0.2064,0,3.3165,0.56586,-8.2075,0,4.3,16.5,0.2737,1915,0,0,0,0.29216,1459,3.5,-0.1785,12,-1.14,56.9,-5.7469,14.1,-1.1421,,1,,,,
FGFR1,,,,,,240,-4.2,0,27,0,27,0,0.1824,0,0.5628,4.66355,-9.5961,0,3.8,2.8,2.25675,332,0,0,0,2.4068,251,30,-1.53,43,-4.085,8.3,-0.8383,38.8,-3.1428,,4,,,,
MAPT,,,,,,180,-4.2,1.7,9,0,8,0.1343,0.1056,0,1.1055,1.45142,-7.0189,0,2.2,5.5,0.7395,612,0,0,0,0.71192,481,110,-5.61,2,-0.19,0.6,-0.0606,14.3,-1.1583,,2,,,,
HDAC8,,,,,,130,-4.3,0,0,0,0,0,0,0,0,0,-4.2745,0,0,0,0,0,0,0,0,0,na,12,-0.612,9.2,-0.874,15.9,-1.6059,14.6,-1.1826,,3,,,,
CDH5,,,,,,140,-4.4,0.6,4,0,4,0.0474,0,-0.0207,0.3618,0.67057,-5.4149,0.9,0,1.8,0.32385,1557,0,0,0,0.34672,1208,10,-0.51,11,-1.045,23.3,-2.3533,18.6,-1.5066,,1,,,,
ADRA1A,,,,,,125,-4.4,1.7,0,1,0,0.1343,0.024,0,0.5628,-0.3296,-6.1566,0,0.5,2.8,0,0,-0.06592,-0.3296,888,0,na,2.1,-0.1071,1.1,-0.1045,58.3,-5.8883,0.7,-0.0567,,1,,,,
PDGFRA,,,,,,150,-4.8,0.6,10,0,9,0.0474,0.024,0,0.1809,1.7051,-6.7721,0,0.5,0.9,0.8823,561,0,0,0,0.8228,422,13,-0.663,26,-2.47,15.5,-1.5655,25.6,-2.0736,,4,,,,
KDM5D,,,,,,140,-4.8,0,0,0,0,0,0,0,0,0,-4.8237,0,0,0,0,0,0,0,0,0,na,8.6,-0.4386,23,-2.185,12.4,-1.2524,11.7,-0.9477,,1,,,,
EGLN3,,,,,,140,-4.9,0,3,0,9,0,0,0,0.3618,1.0135,-6.2486,0,0,1.8,0.2567,2013,0,0,0,0.7568,455,19,-0.969,37,-3.515,4.8,-0.4848,15.8,-1.2798,,1,,,,
ALKBH3,,,,,,195,-5.1,0,0,,,0,0.0768,0,0.1809,0,-5.3712,0,1.6,0.9,0,0,0,0,,0,,16,-0.816,15,-1.425,18,-1.818,16.2,-1.3122,,1,,,,
PARP2,,,,,,235,-5.2,0.6,1,0,1,0.0474,0.024,0,0.3618,0.14277,-5.778,0,0.5,1.8,0.06885,7026,0,0,0,0.07392,6012,29,-1.479,14.9,-1.4155,16.6,-1.6766,14.9,-1.2069,,1,,,,
RARA,,,,,,220,-5.3,0,8,1,7,0,0.1056,0,1.1055,0.96052,-8.8127,0,2.2,5.5,0.697,633,-0.06592,-0.3296,942,0.59312,604,11,-0.561,23,-2.185,41.3,-4.1713,23.4,-1.8954,,1,,,,
HDAC7,,,,,,195,-5.3,0.6,0,0,0,0.0474,0.024,0,0.9246,0,-6.3066,0,0.5,4.6,0,0,0,0,0,0,na,7.3,-0.3723,32,-3.04,5.8,-0.5858,28.5,-2.3085,,3,,,,
CSF1R,,,,,,215,-5.3,0.6,0,0,0,0.0474,0.0528,-0.0207,0.5628,0,-5.9907,0.9,1.1,2.8,0,0,0,0,0,0,na,10.2,-0.5202,23.4,-2.223,26.7,-2.6967,6.8,-0.5508,,2,,,,
P3H2,,,,,,180,-5.5,0.6,0,0,0,0.0474,0.0768,0,0.5628,0,-6.1874,0,1.6,2.8,0,0,0,0,0,0,na,3,-0.153,14,-1.33,6.8,-0.6868,49.6,-4.0176,,1,,,,
HDAC6,,,,,,205,-5.5,0.6,1,0,7,0.0474,0.024,-0.0207,0,0.71147,-6.3016,0.9,0.5,0,0.08755,904,0,0,0,0.62392,568,7,-0.357,13,-1.235,26.5,-2.6765,25.1,-2.0331,,3,,,,
ALKBH2,,,,,,150,-5.9,0.6,0,,,0.0474,0,0,0.3618,0,-6.3298,0,0,1.8,0,0,0,0,,0,,15,-0.765,13,-1.235,31,-3.131,14.8,-1.1988,,1,,,,
ATP2B1,,,,,,150,-5.9,1.1,2,0,2,0.0869,0.024,-0.0207,0.1809,0.30846,-6.5037,0.9,0.5,0.9,0.1615,3366,0,0,0,0.14696,3125,27,-1.377,23,-2.185,18.7,-1.8887,13,-1.053,,1,,,,
NR1I2,,,,,,150,-6.1,0.6,2,0,3,0.0474,0.0528,0,0.3618,0.40621,-6.9311,0,1.1,1.8,0.18445,2915,0,0,0,0.22176,2002,0.1,-0.0051,24,-2.28,46,-4.646,0,0,,3,,,,
AHR,,,,,,150,-6.3,0.6,5,,5,0.0474,0.024,-0.0207,0.1809,0.7904,-7.3211,0.9,0.5,0.9,0.3944,1231,0,0,,0.396,1035,1.7,-0.0867,24,-2.28,43.6,-4.4036,6.8,-0.5508,,1,,,,
HDAC5,,,,,,150,-6.3,1.1,0,0,0,0.0869,0.1056,0,1.8492,0,-8.3901,0,2.2,9.2,0,0,0,0,0,0,na,46,-2.346,25,-2.375,17,-1.717,24.1,-1.9521,,3,,,,
TOP1,,,,,,150,-6.5,0,36,1,6,0,0,0,0.7437,3.13933,-12.2398,0,0,3.7,3.06085,242,-0.08832,-0.4416,465,0.52008,705,18,-0.918,38,-3.61,46.2,-4.6662,37.6,-3.0456,,3,,,,
GART,,,,,,150,-6.6,0,2,0,1,0,0.024,-0.0207,0.1809,0.22764,-7.0469,0.9,0.5,0.9,0.1326,4160,0,0,0,0.09504,4869,12,-0.612,20,-1.9,28.7,-2.8987,20.2,-1.6362,,1,,,,
PARP3,,,,,,150,-6.7,0,0,0,0,0,0,0,0.5628,0,-7.2134,0,0,2.8,0,0,0,0,0,0,na,11.3,-0.5763,22,-2.09,28.5,-2.8785,20.6,-1.6686,,1,,,,
WEE1,,,,,,150,-6.8,0,7,0,7,0,0.024,0,0.5628,1.20445,-8.5901,0,0.5,2.8,0.60605,734,0,0,0,0.5984,600,1.8,-0.0918,16,-1.52,56.1,-5.6661,16.2,-1.3122,,1,,,,
RAF1,,,,,,150,-6.8,0,49,1,48,0,0,-0.0207,0.3618,8.03832,-16.5509,0.9,0,1.8,4.1548,146,-0.06528,-0.3264,1008,4.20992,137,27,-1.377,51,-4.845,67.3,-6.7973,43.6,-3.5316,,3,,,,
ABCC5,,,,,,150,-6.9,0.6,0,0,0,0.0474,0.0768,-0.0207,0.5628,0,-7.6101,0.9,1.6,2.8,0,0,0,0,0,0,na,40,-2.04,16,-1.52,7.7,-0.7777,40.4,-3.2724,,1,,,,
TOP2B,,,,,,180,-7.1,1.7,4,0,3,0.1343,0.024,0,0.1809,0.56766,-7.9784,0,0.5,0.9,0.2975,1729,0,0,0,0.27016,1597,17,-0.867,29,-2.755,21.8,-2.2018,26.6,-2.1546,,1,,,,
P4HTM,,,,,,150,-7.2,0.6,1,0,0,0.0474,0.024,0,0.9246,0.07055,-8.2556,0,0.5,4.6,0.07055,6402,0,0,0,0,na,50,-2.55,23,-2.185,11.6,-1.1716,29,-2.349,,1,,,,
NEU1,,,,,,165,-7.3,0,0,0,0,0,0.1056,0,1.6683,0,-9.1109,0,2.2,8.3,0,0,0,0,0,0,na,14.2,-0.7242,21,-1.995,29.2,-2.9492,42.5,-3.4425,,2,,,,
HDAC11,,,,,,180,-7.4,0,0,0,0,0,0,0,0.3618,0,-7.7889,0,0,1.8,0,0,0,0,0,0,na,78,-3.978,12.4,-1.178,6.5,-0.6565,24.4,-1.9764,,3,,,,
PARP1,,,,,,195,-7.5,0.6,10,0,8,0.0474,0.0768,0,1.6683,1.55274,-10.8837,0,1.6,8.3,0.8109,582,0,0,0,0.74184,464,48,-2.448,32,-3.04,36.1,-3.6461,21.6,-1.7496,,2,,,,
MAPK3,,,,,,200,-7.7,0,82,2,81,0,0,0,1.6683,13.50067,-25.1586,0,0,8.3,6.93515,44,-0.1088,-0.544,378,7.10952,44,190,-9.69,100,-9.5,20.6,-2.0806,48,-3.888,,1,,,,
FUBP1,,,,,,150,-7.8,0,2,0,2,0,0,0,0.3618,0.35867,-8.5342,0,0,1.8,0.20995,2491,0,0,0,0.14872,3021,17,-0.867,29,-2.755,18,-1.818,38.2,-3.0942,,1,,,,
MAP2K1,,,,,,200,-7.9,0,35,1,35,0,0,0,0.5628,5.74049,-15.548,0,0,2.8,3.00305,247,-0.06464,-0.3232,1122,3.06064,205,70,-3.57,24,-2.28,71.8,-7.2518,30.2,-2.4462,,3,,,,
HDAC3,,,,,,220,-8.2,0,0,0,0,0,0.0528,0,0.3618,0,-8.5708,0,1.1,1.8,0,0,0,0,0,0,na,12,-0.612,23,-2.185,38.4,-3.8784,23.4,-1.8954,,3,,,,
LIMK2,,,,,,150,-8.5,0.6,4,0,3,0.0474,0,0,0.5628,0.56554,-9.6511,0,0,2.8,0.3077,1640,0,0,0,0.25784,1683,25,-1.275,31,-2.945,32.2,-3.2522,26.9,-2.1789,,1,,,,
CRBN,,,,,,150,-8.5,0,1,0,1,0,0,0,0.1809,0.14623,-8.8465,0,0,0.9,0.07055,6291,0,0,0,0.07568,5291,29,-1.479,19,-1.805,33.1,-3.3431,27.4,-2.2194,,3,,,,
DPYD,,,,,,250,-8.5,1.7,0,,0,0.1343,0,0,0.5628,0,-9.2286,0,0,2.8,0,0,0,0,,0,na,4,-0.204,14,-1.33,66.4,-6.7064,12.2,-0.9882,,1,,,,
IL2RG,,,,,,150,-8.8,0,9,0,8,0,0.024,0,0,1.42204,-10.2738,0,0.5,0,0.7242,620,0,0,0,0.69784,499,4,-0.204,80,-7.6,19,-1.919,6.8,-0.5508,,1,,,,
PLOD3,,,,,,190,-8.8,0,0,0,0,0,0.1296,0,3.4974,0,-12.46,0,2.7,17.4,0,0,0,0,0,0,na,28,-1.428,30,-2.85,52.7,-5.3227,35.3,-2.8593,,1,,,,
ATIC,,,,,,210,-8.9,0.6,2,0,1,0.0474,0.0768,-0.0414,0.1809,0.3306,-9.5271,1.8,1.6,0.9,0.2074,2580,0,0,0,0.1232,3697,17,-0.867,28.6,-2.717,33.5,-3.3835,31.6,-2.5596,,1,,,,
DHFR,,,,,,240,-9,0.6,2,0,1,0.0474,0,0,0.7437,0.26005,-10.0426,0,0,3.7,0.13685,4026,0,0,0,0.1232,3720,12,-0.612,20,-1.9,58.2,-5.8782,20.4,-1.6524,,1,,,,
PLOD2,,,,,,190,-9.2,0,0,0,0,0,0.0528,0,0.7437,0,-10.0056,0,1.1,3.7,0,0,0,0,0,0,na,10,-0.51,23,-2.185,55.3,-5.5853,21.3,-1.7253,,1,,,,
P4HA1,,,,,,210,-9.4,2.8,0,2,0,0.2212,0.0528,0,0.5628,-0.544,-11.9862,0,1.1,2.8,0,0,-0.1088,-0.544,371,0,na,16,-0.816,13,-1.235,70.7,-7.1407,34.5,-2.7945,,1,,,,
CISH,,,,,,210,-9.5,0.6,4,0,4,0.0474,0.024,0,0.5628,0.61603,-10.7756,0,0.5,2.8,0.29835,1727,0,0,0,0.31768,1331,1.5,-0.0765,10.1,-0.9595,59.3,-5.9893,46.3,-3.7503,,1,,,,
EGLN1,,,,,,190,-10.1,0,2,0,2,0,0.0768,0,1.4673,0.37896,-11.9942,0,1.6,7.3,0.1836,2943,0,0,0,0.19536,2330,17,-0.867,27,-2.565,54.7,-5.5247,37.5,-3.0375,,1,,,,
FGFR3,,,,,,220,-10.1,0.6,5,0,4,0.0474,0.1056,0,1.2864,0.75036,-12.3079,0,2.2,6.4,0.4318,1116,0,0,0,0.31856,1324,89,-4.539,7,-0.665,39.7,-4.0097,38.2,-3.0942,,2,,,,
CXCR4,,,,,,215,-10.7,1.1,9,0,9,0.0869,0.024,0,0.1809,1.59673,-12.5969,0,0.5,0.9,0.78625,588,0,0,0,0.81048,429,16,-0.816,45,-4.275,51.7,-5.2217,28.2,-2.2842,,3,,,,
CDK4,,,,,,215,-10.7,0.6,11,1,10,0.0474,0.0768,0,1.1055,1.36976,-15.1152,0,1.6,5.5,0.9452,547,-0.08704,-0.4352,583,0.85976,407,28,-1.428,43,-4.085,50,-5.05,56.2,-4.5522,,1,,,,
ATP2C1,,,,,,180,-10.8,1.1,1,0,0,0.0869,0.0528,0,0.3618,0.068,-11.3657,0,1.1,1.8,0.068,7289,0,0,0,0,na,42,-2.142,31,-2.945,27.6,-2.7876,43.1,-3.4911,,1,,,,
FGFR4,,,,,,205,-11,0.6,5,0,4,0.0474,0.0768,0,1.1055,0.76978,-12.9585,0,1.6,5.5,0.4301,1125,0,0,0,0.33968,1247,0.9,-0.0459,17,-1.615,80.5,-8.1305,39.1,-3.1671,,1,,,,
STAT3,,,,,,240,-11,0.6,76,1,76,0.0474,0.0768,0,1.1055,12.73437,-26.715,0,1.6,5.5,6.48805,56,-0.0864,-0.432,603,6.67832,54,25,-1.275,55,-5.225,140,-14.14,75,-6.075,,1,,,,
FCGR3A,,,,,,195,-11.2,0,0,0,0,0,0.1584,0,2.3919,0,-13.7912,0,3.3,11.9,0,0,0,0,0,0,na,34,-1.734,5,-0.475,108.5,-10.9585,7.7,-0.6237,,3,,,,
TXNRD1,,,,,,210,-11.9,0,2,0,2,0,0,-0.0207,0.1809,0.32194,-12.4005,0.9,0,0.9,0.1785,3069,0,0,0,0.14344,3286,16,-0.816,43,-4.085,44.9,-4.5349,36.6,-2.9646,,1,,,,
MPG,,,,,,165,-11.9,0,2,0,2,0,0,0,2.5728,0.36131,-14.873,0,0,12.8,0.20995,2520,0,0,0,0.15136,2842,34,-1.734,41,-3.895,65.3,-6.5953,32.7,-2.6487,,2,,,,
HDAC2,,,,,,235,-12.3,0,0,0,0,0,0.024,-0.0414,0.1809,0,-12.4211,1.8,0.5,0.9,0,0,0,0,0,0,na,30,-1.53,41,-3.895,33.5,-3.3835,44.6,-3.6126,,3,,,,
ATP2A2,,,,,,180,-13.5,1.1,4,0,3,0.0869,0,-0.0207,0.1809,0.59746,-14.3225,0.9,0,0.9,0.3009,1697,0,0,0,0.29656,1403,35,-1.785,47,-4.465,53.3,-5.3833,33.2,-2.6892,,1,,,,
EGLN2,,,,,,195,-13.5,0,1,0,1,0,0.1584,-0.0207,3.1356,0.16565,-16.9719,0.9,3.3,15.6,0.06885,7134,0,0,0,0.0968,4816,67,-3.417,38,-3.61,56.2,-5.6762,52.7,-4.2687,,1,,,,
PLOD1,,,,,,180,-13.9,0.6,1,0,1,0.0474,0.0528,0,1.1055,0.21243,-15.345,0,1.1,5.5,0.11475,4696,0,0,0,0.09768,4675,21,-1.071,32,-3.04,75.7,-7.6457,44.3,-3.5883,,2,,,,
MAP2,,,,,,195,-14.4,0,4,0,3,0,0,0,0.5628,0.55337,-15.548,0,0,2.8,0.30345,1662,0,0,0,0.24992,1708,70,-3.57,24,-2.28,71.8,-7.2518,30.2,-2.4462,,2,,,,
