Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CNP		1	1	109	0.9%	No
UBR4		2	2	109	1.8%	No
UBR3		1	1	109	0.9%	No
HMMR		1	1	109	0.9%	No
UBR1		1	1	109	0.9%	No
MTM1		1	1	109	0.9%	No
ORC4		1	1	109	0.9%	No
TPO		1	1	109	0.9%	No
FGGY		1	1	109	0.9%	No
TPR		3	3	109	2.8%	Yes
UBR5		1	1	109	0.9%	Yes
BTLA		2	2	109	1.8%	Yes
MAP3K21		3	2	109	1.8%	Yes
ZNF789		1	1	109	0.9%	No
DRD2		1	1	109	0.9%	No
MAP2K7		1	1	109	0.9%	No
ZNF786		1	1	109	0.9%	No
DRD5		2	2	109	1.8%	No
MAP2K6		1	1	109	0.9%	No
ZNF782		1	1	109	0.9%	No
OSBPL8		1	1	109	0.9%	No
OSBPL7		1	1	109	0.9%	No
FANCM		1	1	109	0.9%	Yes
FANCA		1	1	109	0.9%	Yes
SLC4A10		1	1	109	0.9%	No
PXDNL		2	2	109	1.8%	No
SYNJ2		3	3	109	2.8%	No
FANCF		3	3	109	2.8%	Yes
OTOL1		2	2	109	1.8%	No
BCL9		1	1	109	0.9%	Yes
BCL6		1	1	109	0.9%	Yes
LHX1		2	2	109	1.8%	No
ZNF777		1	1	109	0.9%	No
LHX4		1	1	109	0.9%	No
OR13A1		1	1	109	0.9%	No
LHX8		1	1	109	0.9%	No
ZNF771		1	1	109	0.9%	No
TCP10L		1	1	109	0.9%	No
ZNF770		1	1	109	0.9%	No
MCM7		1	1	109	0.9%	No
COL14A1		7	7	109	6.4%	No
ZC3H3		1	1	109	0.9%	No
OR13H1		1	1	109	0.9%	No
ZC3H8		1	1	109	0.9%	No
TRH		1	1	109	0.9%	No
ZC3H6		2	2	109	1.8%	No
CPZ		1	1	109	0.9%	No
MTO1		2	2	109	1.8%	No
SYNE2		3	3	109	2.8%	No
SYNE1		3	2	109	1.8%	No
UBTF		1	1	109	0.9%	Yes
CEP170B		1	1	109	0.9%	No
PHACTR2		1	1	109	0.9%	No
LBP		1	1	109	0.9%	No
OR8D2		1	1	109	0.9%	No
LBR		2	2	109	1.8%	No
OR8D1		2	2	109	1.8%	No
PHACTR4		2	2	109	1.8%	No
CR2		2	2	109	1.8%	No
OR6C70		1	1	109	0.9%	No
CR1		4	4	109	3.7%	No
OR6C76		1	1	109	0.9%	No
DIS3		1	1	109	0.9%	Yes
SECISBP2L		1	1	109	0.9%	No
OR13G1		1	1	109	0.9%	No
AVPR2		1	1	109	0.9%	No
COBL		1	1	109	0.9%	No
ZNF75D		1	1	109	0.9%	No
ZNF75A		1	1	109	0.9%	No
NPEPL1		1	1	109	0.9%	No
MEP1B		2	2	109	1.8%	No
DAD1		1	1	109	0.9%	No
MEP1A		1	1	109	0.9%	No
CTDSP2		1	1	109	0.9%	No
DNAJC5		1	1	109	0.9%	No
MCM3		2	2	109	1.8%	No
LANCL2		1	1	109	0.9%	No
MCM4		1	1	109	0.9%	No
ALDH9A1		1	1	109	0.9%	No
HDAC2		2	2	109	1.8%	Yes
PLAG1		1	1	109	0.9%	Yes
VPS4B		1	1	109	0.9%	No
CRX		1	1	109	0.9%	No
TULP4		3	3	109	2.8%	No
TPTE		1	1	109	0.9%	No
HDAC9		1	1	109	0.9%	No
HDAC6		1	1	109	0.9%	No
TTN		20	16	109	14.7%	No
ABLIM3		1	1	109	0.9%	No
HECTD2		1	1	109	0.9%	No
VPS50		3	3	109	2.8%	No
IL21R		1	1	109	0.9%	Yes
OR8B4		1	1	109	0.9%	No
XIRP2		1	1	109	0.9%	No
OR8B3		2	1	109	0.9%	No
ALOXE3		1	1	109	0.9%	No
DRGX		3	3	109	2.8%	No
SLC35A4		1	1	109	0.9%	No
NLGN4X		1	1	109	0.9%	No
SMOX		1	1	109	0.9%	No
MTOR		1	1	109	0.9%	Yes
MAB21L1		1	1	109	0.9%	No
ASXL3		3	3	109	2.8%	No
VPS41		1	1	109	0.9%	No
DRG2		1	1	109	0.9%	No
OR8A1		1	1	109	0.9%	No
IFITM3		1	1	109	0.9%	No
SLC35B3		1	1	109	0.9%	No
TCERG1		1	1	109	0.9%	No
VEZT		2	2	109	1.8%	No
SLC35B2		2	2	109	1.8%	No
MTRR		3	3	109	2.8%	No
IFITM2		1	1	109	0.9%	No
SLC35B1		1	1	109	0.9%	No
ZMYND8		1	1	109	0.9%	No
DCAF4L2		3	3	109	2.8%	No
IFIT5		1	1	109	0.9%	No
GBA1		1	1	109	0.9%	No
MKI67		2	2	109	1.8%	Yes
GBA3		1	1	109	0.9%	No
AQP3		1	1	109	0.9%	No
HS6ST1		1	1	109	0.9%	No
GBA2		1	1	109	0.9%	No
IFIT2		1	1	109	0.9%	No
FERD3L		1	1	109	0.9%	No
RPS15		1	1	109	0.9%	Yes
RPS6KA4		1	1	109	0.9%	Yes
NFU1		1	1	109	0.9%	No
RPS6KA6		1	1	109	0.9%	No
ZNF845		2	2	109	1.8%	No
ZNF844		1	1	109	0.9%	No
GSC2		1	1	109	0.9%	No
ZNF843		1	1	109	0.9%	No
H4C4		1	1	109	0.9%	No
ZNF841		1	1	109	0.9%	No
OR8H3		2	2	109	1.8%	No
SRRM2		2	2	109	1.8%	No
DYNC2H1		4	4	109	3.7%	No
OR8H2		4	3	109	2.8%	No
PDHX		1	1	109	0.9%	No
OR8H1		1	1	109	0.9%	No
TANGO6		1	1	109	0.9%	No
SRRM5		2	2	109	1.8%	No
IFRD1		1	1	109	0.9%	No
COG2		1	1	109	0.9%	No
COG1		1	1	109	0.9%	No
HLA-A		2	2	109	1.8%	Yes
KNL1		4	4	109	3.7%	Yes
SLC51A		1	1	109	0.9%	No
SLC51B		1	1	109	0.9%	No
HLA-G		1	1	109	0.9%	No
CRNKL1		2	1	109	0.9%	No
HLA-E		1	1	109	0.9%	No
ZNF839		1	1	109	0.9%	No
GSAP		1	1	109	0.9%	No
ZNF831		2	2	109	1.8%	No
OBSL1		1	1	109	0.9%	No
MACF1		2	2	109	1.8%	No
STXBP4		1	1	109	0.9%	No
TXK		1	1	109	0.9%	No
MTTP		1	1	109	0.9%	No
PRAMEF11		5	4	109	3.7%	No
RPAP1		2	2	109	1.8%	No
APCDD1		1	1	109	0.9%	No
RPAP2		1	1	109	0.9%	No
CRHR1		1	1	109	0.9%	No
RPAP3		2	2	109	1.8%	No
FXR1		1	1	109	0.9%	No
HELZ2		3	3	109	2.8%	No
ZNF827		2	2	109	1.8%	No
ZNF823		1	1	109	0.9%	No
GSE1		1	1	109	0.9%	No
SH2D1A		1	1	109	0.9%	Yes
TRERF1		2	2	109	1.8%	No
PUM2		1	1	109	0.9%	No
RPS28		1	1	109	0.9%	No
SMTN		1	1	109	0.9%	No
VNN1		1	1	109	0.9%	No
PARVG		1	1	109	0.9%	No
ADCK1		1	1	109	0.9%	No
ZNF814		20	20	109	18.3%	No
ZNF813		1	1	109	0.9%	No
ADCK5		2	2	109	1.8%	No
SLC22A8		1	1	109	0.9%	No
DCP1B		2	2	109	1.8%	No
TENM1		4	4	109	3.7%	No
AHCTF1		1	1	109	0.9%	No
ZCCHC10		1	1	109	0.9%	No
TENM4		2	2	109	1.8%	No
GBE1		1	1	109	0.9%	No
MCUB		1	1	109	0.9%	No
SLC35F4		2	2	109	1.8%	No
RSF1		1	1	109	0.9%	No
SIPA1L2		1	1	109	0.9%	No
SIPA1L3		1	1	109	0.9%	No
ZNF805		2	1	109	0.9%	No
TMED3		1	1	109	0.9%	No
UBXN7		1	1	109	0.9%	No
ZNF800		1	1	109	0.9%	No
TMED1		1	1	109	0.9%	No
PARP4		4	4	109	3.7%	No
STRADA		1	1	109	0.9%	No
HEG1		2	2	109	1.8%	No
SLC35G6		7	5	109	4.6%	No
SLC35G5		6	5	109	4.6%	No
ZDHHC13		1	1	109	0.9%	No
ZDHHC11		5	5	109	4.6%	No
MTSS1		1	1	109	0.9%	No
VWA8		2	1	109	0.9%	No
VWA1		1	1	109	0.9%	No
MATN2		1	1	109	0.9%	No
SDCCAG8		1	1	109	0.9%	No
AVPI1		1	1	109	0.9%	No
VWA7		1	1	109	0.9%	No
AMER1		1	1	109	0.9%	Yes
AMER2		1	1	109	0.9%	No
MEGF6		1	1	109	0.9%	No
AMER3		1	1	109	0.9%	No
OR8K3		1	1	109	0.9%	No
FAM47C		2	2	109	1.8%	No
FAM47A		2	2	109	1.8%	No
FAM47B		1	1	109	0.9%	No
ZDHHC23		1	1	109	0.9%	No
NOL9		1	1	109	0.9%	No
VWCE		1	1	109	0.9%	No
TYMS		1	1	109	0.9%	No
GDPD5		1	1	109	0.9%	No
NOL4		3	3	109	2.8%	No
RGPD4		4	4	109	3.7%	No
RGPD3		6	6	109	5.5%	No
CFAP298		1	1	109	0.9%	No
PDPR		2	2	109	1.8%	No
SUSD3		2	2	109	1.8%	No
SVIL		3	2	109	1.8%	No
OR8J1		1	1	109	0.9%	No
MTX2		1	1	109	0.9%	No
SUSD2		1	1	109	0.9%	No
GRHL2		2	2	109	1.8%	No
MLH3		1	1	109	0.9%	Yes
ATAT1		1	1	109	0.9%	No
TRIML2		1	1	109	0.9%	No
PRKRA		2	2	109	1.8%	No
LRRN4CL		1	1	109	0.9%	No
GSTA1		1	1	109	0.9%	No
TRIML1		1	1	109	0.9%	No
F2RL2		1	1	109	0.9%	No
TAMM41		1	1	109	0.9%	No
SPPL2C		1	1	109	0.9%	No
ZSCAN9		1	1	109	0.9%	No
CLEC18C		1	1	109	0.9%	No
CLEC18B		2	2	109	1.8%	No
COMT		1	1	109	0.9%	No
MARCHF11		1	1	109	0.9%	No
CLEC18A		1	1	109	0.9%	No
DOCK10		4	4	109	3.7%	No
OR5H15		2	2	109	1.8%	No
OR5H14		2	2	109	1.8%	No
EME1		2	2	109	1.8%	No
FPGT		1	1	109	0.9%	No
SVEP1		3	3	109	2.8%	No
POSTN		1	1	109	0.9%	No
ACYP2		1	1	109	0.9%	No
ATP1B3		1	1	109	0.9%	No
VWDE		1	1	109	0.9%	No
RSBN1		1	1	109	0.9%	No
EMCN		1	1	109	0.9%	No
SPECC1L		2	2	109	1.8%	No
TIMELESS		1	1	109	0.9%	No
LPA		1	1	109	0.9%	No
COPB1		2	2	109	1.8%	No
LPL		1	1	109	0.9%	No
PSG11		1	1	109	0.9%	No
CUZD1		1	1	109	0.9%	No
CAMSAP2		2	2	109	1.8%	No
NPC1L1		1	1	109	0.9%	No
C14ORF28		1	1	109	0.9%	No
LONRF2		1	1	109	0.9%	No
CPSF6		1	1	109	0.9%	No
PNPT1		2	2	109	1.8%	No
CPSF2		1	1	109	0.9%	No
CLEC17A		1	1	109	0.9%	No
SELE		1	1	109	0.9%	No
SELP		2	2	109	1.8%	No
DIAPH1		2	2	109	1.8%	No
DIAPH2		1	1	109	0.9%	No
COQ2		1	1	109	0.9%	No
BRWD1		1	1	109	0.9%	No
BRWD3		1	1	109	0.9%	No
ZSCAN1		1	1	109	0.9%	No
UCN		1	1	109	0.9%	No
GPSM2		1	1	109	0.9%	No
EOLA2		1	1	109	0.9%	No
THRB		2	2	109	1.8%	No
MRFAP1L1		1	1	109	0.9%	No
OR11H12		3	3	109	2.8%	No
CLEC14A		1	1	109	0.9%	No
DBH		2	2	109	1.8%	No
OPLAH		1	1	109	0.9%	No
OR8U3		1	1	109	0.9%	No
FHAD1		2	2	109	1.8%	No
MFSD9		1	1	109	0.9%	No
MFSD6		2	2	109	1.8%	No
LRRTM4		1	1	109	0.9%	No
TOP1MT		1	1	109	0.9%	No
LRRTM1		1	1	109	0.9%	No
FAM86B2		1	1	109	0.9%	No
NOS1		1	1	109	0.9%	No
C22ORF46P		1	1	109	0.9%	No
DCC		1	1	109	0.9%	No
FAM86B1		1	1	109	0.9%	No
RPS3A		3	3	109	2.8%	No
IQCC		1	1	109	0.9%	No
IQCD		1	1	109	0.9%	No
C1QTNF9B		3	3	109	2.8%	No
SUPV3L1		1	1	109	0.9%	No
ALDH1A3		1	1	109	0.9%	No
IQCN		1	1	109	0.9%	No
CFAP221		1	1	109	0.9%	No
RBL1		1	1	109	0.9%	No
FCHSD2		1	1	109	0.9%	No
OAS1		1	1	109	0.9%	No
THRAP3		1	1	109	0.9%	No
CDH10		2	2	109	1.8%	No
COL6A2		4	4	109	3.7%	No
OAS3		1	1	109	0.9%	No
CDH11		3	3	109	2.8%	Yes
COL6A1		1	1	109	0.9%	No
ZPBP2		1	1	109	0.9%	No
CDH12		2	2	109	1.8%	No
DCX		1	1	109	0.9%	No
C14ORF39		1	1	109	0.9%	No
CDH13		4	4	109	3.7%	No
COL6A3		4	4	109	3.7%	No
COL6A6		4	4	109	3.7%	No
CDH15		1	1	109	0.9%	No
TMEM9		1	1	109	0.9%	No
COL6A5		2	2	109	1.8%	No
CDH18		1	1	109	0.9%	No
HEMGN		1	1	109	0.9%	No
CST9L		1	1	109	0.9%	No
DTHD1		1	1	109	0.9%	No
NRXN1		5	5	109	4.6%	No
ATP1A4		1	1	109	0.9%	No
NRXN3		3	3	109	2.8%	No
NRXN2		2	2	109	1.8%	No
ATP1A2		1	1	109	0.9%	No
CFAP206		2	2	109	1.8%	No
OR8S1		1	1	109	0.9%	No
BICRA		1	1	109	0.9%	No
MUC2		18	12	109	11.0%	No
NXF3		1	1	109	0.9%	No
CHSY1		1	1	109	0.9%	No
FAM120A		1	1	109	0.9%	No
CHSY3		1	1	109	0.9%	No
BUB1		1	1	109	0.9%	No
GBP1		1	1	109	0.9%	No
MUC4		7	7	109	6.4%	No
GBP3		3	3	109	2.8%	No
MUC6		6	6	109	5.5%	No
DEK		2	2	109	1.8%	Yes
SLC4A9		1	1	109	0.9%	No
PDE10A		2	2	109	1.8%	No
MLPH		2	2	109	1.8%	No
KANSL3		1	1	109	0.9%	No
ATP13A4		1	1	109	0.9%	No
ATP13A3		1	1	109	0.9%	No
FBXW10B		5	4	109	3.7%	No
CSNK1A1L		1	1	109	0.9%	No
ZFYVE9		2	2	109	1.8%	No
NEXMIF		1	1	109	0.9%	No
OR2M5		2	2	109	1.8%	No
OR2M3		2	2	109	1.8%	No
OR4K17		1	1	109	0.9%	No
OR2M2		1	1	109	0.9%	No
LIPA		1	1	109	0.9%	No
TSEN54		1	1	109	0.9%	No
LIPF		1	1	109	0.9%	No
ZDBF2		2	2	109	1.8%	No
LIPE		1	1	109	0.9%	No
PREX1		2	2	109	1.8%	No
ZFYVE26		1	1	109	0.9%	No
CYP2D6		3	3	109	2.8%	No
LIPI		1	1	109	0.9%	No
IGLON5		1	1	109	0.9%	No
LIPK		1	1	109	0.9%	No
SAMD11		1	1	109	0.9%	No
STARD5		1	1	109	0.9%	No
CSNK2A3		1	1	109	0.9%	No
DNTTIP2		1	1	109	0.9%	No
OR2L3		2	2	109	1.8%	No
OR2L2		1	1	109	0.9%	No
CRIPTO		1	1	109	0.9%	No
HSPG2		2	2	109	1.8%	No
SCAMP2		1	1	109	0.9%	No
EML4		2	2	109	1.8%	Yes
AR		4	4	109	3.7%	Yes
SLC5A7		1	1	109	0.9%	No
EML5		2	2	109	1.8%	No
EML6		1	1	109	0.9%	No
RBP5		1	1	109	0.9%	No
RBP1		1	1	109	0.9%	No
PADI2		1	1	109	0.9%	No
RBCK1		1	1	109	0.9%	No
PADI4		1	1	109	0.9%	No
NGEF		1	1	109	0.9%	No
GRID2IP		1	1	109	0.9%	No
CFAP61		2	2	109	1.8%	No
MTMR1		1	1	109	0.9%	No
HACD1		1	1	109	0.9%	No
MTMR3		1	1	109	0.9%	No
HS3ST3A1		1	1	109	0.9%	No
SHOX2		1	1	109	0.9%	No
FPR1		1	1	109	0.9%	No
MTMR8		1	1	109	0.9%	No
SLC5A1		1	1	109	0.9%	No
EDDM3B		1	1	109	0.9%	No
MTMR4		1	1	109	0.9%	No
SLC5A4		1	1	109	0.9%	No
MTMR6		1	1	109	0.9%	No
HACD4		1	1	109	0.9%	No
C3		2	2	109	1.8%	No
CYP2B6		1	1	109	0.9%	No
HMGXB4		1	1	109	0.9%	No
HMGXB3		1	1	109	0.9%	No
EXPH5		3	3	109	2.8%	No
EDEM3		3	3	109	2.8%	No
C11ORF21		1	1	109	0.9%	No
PMM1		1	1	109	0.9%	No
LRBA		2	2	109	1.8%	No
EDEM1		1	1	109	0.9%	No
APCDD1L		1	1	109	0.9%	No
ERLIN1		1	1	109	0.9%	No
NR0B1		1	1	109	0.9%	No
GRIN2C		2	2	109	1.8%	No
SETX		1	1	109	0.9%	No
PCDHGA10		2	2	109	1.8%	No
CYP2C8		1	1	109	0.9%	No
PCDHGA12		1	1	109	0.9%	No
GRIN3B		1	1	109	0.9%	No
COL1A2		2	2	109	1.8%	No
GRIN3A		2	2	109	1.8%	No
DCHS2		3	3	109	2.8%	No
C11ORF16		1	1	109	0.9%	No
NAPEPLD		1	1	109	0.9%	No
DCHS1		4	4	109	3.7%	No
NOX5		1	1	109	0.9%	No
NOX1		1	1	109	0.9%	No
CFAP77		1	1	109	0.9%	No
RPLP0		1	1	109	0.9%	No
QPRT		1	1	109	0.9%	No
ECSIT		1	1	109	0.9%	Yes
LITAF		1	1	109	0.9%	No
LLCFC1		1	1	109	0.9%	No
GPRC6A		1	1	109	0.9%	No
FLVCR1		1	1	109	0.9%	No
FLVCR2		1	1	109	0.9%	No
ADGRF2P		3	3	109	2.8%	No
HLA-DPA1		1	1	109	0.9%	No
APPL1		1	1	109	0.9%	No
C11ORF24		1	1	109	0.9%	No
C11ORF42		1	1	109	0.9%	No
RIPK2		2	2	109	1.8%	No
EMP2		1	1	109	0.9%	No
NSUN7		1	1	109	0.9%	No
NIPA2		1	1	109	0.9%	No
F2		1	1	109	0.9%	No
SIRT1		1	1	109	0.9%	No
F5		2	2	109	1.8%	No
F7		1	1	109	0.9%	No
F8		2	2	109	1.8%	No
BDH2		1	1	109	0.9%	No
RILPL1		1	1	109	0.9%	No
TGIF2LX		1	1	109	0.9%	No
PICK1		1	1	109	0.9%	No
SLC29A4		1	1	109	0.9%	No
LINC02902		1	1	109	0.9%	No
DSCAML1		2	2	109	1.8%	No
C11ORF52		1	1	109	0.9%	No
STAU2		1	1	109	0.9%	No
RPS27L		1	1	109	0.9%	No
UNG		1	1	109	0.9%	No
RECQL4		1	1	109	0.9%	Yes
FSTL5		1	1	109	0.9%	No
TUBA3E		2	2	109	1.8%	No
MYCT1		1	1	109	0.9%	No
PROKR2		2	2	109	1.8%	No
RECQL5		2	2	109	1.8%	No
GBX1		1	1	109	0.9%	No
RNASE9		1	1	109	0.9%	No
STAT4		3	3	109	2.8%	Yes
DMD		4	4	109	3.7%	No
CSMD3		4	4	109	3.7%	No
CSMD2		4	4	109	3.7%	No
CSMD1		7	6	109	5.5%	No
EVC2		6	6	109	5.5%	No
C11ORF65		1	1	109	0.9%	No
SLC16A1		1	1	109	0.9%	No
ANKIB1		1	1	109	0.9%	No
GK		1	1	109	0.9%	No
OR10G2		1	1	109	0.9%	No
UTP3		1	1	109	0.9%	No
STAT2		1	1	109	0.9%	Yes
P2RY14		1	1	109	0.9%	No
OR10G4		3	3	109	2.8%	No
SAMD4A		1	1	109	0.9%	No
MEAK7		1	1	109	0.9%	No
GLRA4		1	1	109	0.9%	No
STXBP5L		2	2	109	1.8%	No
GATAD2A		2	2	109	1.8%	No
FOXR1		1	1	109	0.9%	No
TTLL4		2	2	109	1.8%	No
TTLL1		1	1	109	0.9%	No
RIMBP2		1	1	109	0.9%	No
RIMBP3		3	3	109	2.8%	No
UBAP2		1	1	109	0.9%	No
OR10G8		3	1	109	0.9%	No
TTLL9		1	1	109	0.9%	No
CCNT2		1	1	109	0.9%	No
CCNT1		2	2	109	1.8%	No
HR		1	1	109	0.9%	No
MYLK3		2	2	109	1.8%	No
CXCL16		1	1	109	0.9%	No
STK11		3	3	109	2.8%	Yes
SMCHD1		2	2	109	1.8%	No
ATCAY		1	1	109	0.9%	No
HEPHL1		1	1	109	0.9%	No
OSBP		1	1	109	0.9%	No
KPNA6		1	1	109	0.9%	No
PABPC4L		1	1	109	0.9%	No
SLC16A7		2	1	109	0.9%	No
KPNA2		2	2	109	1.8%	No
SLC16A2		1	1	109	0.9%	No
SLC25A47		1	1	109	0.9%	No
CCDC144BP		1	1	109	0.9%	No
CPA3		1	1	109	0.9%	No
MYLIP		1	1	109	0.9%	No
IK		1	1	109	0.9%	No
ZNF681		1	1	109	0.9%	No
AREL1		1	1	109	0.9%	No
ZNF680		1	1	109	0.9%	No
UBE2E3		1	1	109	0.9%	No
VPS33A		1	1	109	0.9%	No
OR2T8		2	2	109	1.8%	No
EMSY		1	1	109	0.9%	Yes
OR2T6		2	2	109	1.8%	No
RBX1		1	1	109	0.9%	No
OR2T5		3	2	109	1.8%	No
RBMXL3		8	7	109	6.4%	No
OR2T3		1	1	109	0.9%	No
RBMXL2		2	2	109	1.8%	No
OR2T2		1	1	109	0.9%	No
RBMXL1		3	3	109	2.8%	No
LIX1		1	1	109	0.9%	No
ZNF677		1	1	109	0.9%	No
UTRN		1	1	109	0.9%	No
ZNF676		1	1	109	0.9%	No
KPNB1		1	1	109	0.9%	No
ZNF672		2	2	109	1.8%	No
CPB2		1	1	109	0.9%	No
FBLIM1		1	1	109	0.9%	No
TROAP		2	2	109	1.8%	No
GLIS3		1	1	109	0.9%	No
TNFRSF11B		1	1	109	0.9%	No
NTPCR		1	1	109	0.9%	No
RAP1GAP		1	1	109	0.9%	No
ENTREP2		1	1	109	0.9%	No
GLIS1		1	1	109	0.9%	No
ENTREP3		1	1	109	0.9%	No
STK31		3	2	109	1.8%	No
NPAT		1	1	109	0.9%	No
SBNO1		2	2	109	1.8%	No
BCL2L10		1	1	109	0.9%	No
STK36		1	1	109	0.9%	No
ATG101		2	2	109	1.8%	No
DSEL		2	2	109	1.8%	No
CLTCL1		2	2	109	1.8%	Yes
CPAMD8		3	3	109	2.8%	No
ZNF665		1	1	109	0.9%	No
EVI5		1	1	109	0.9%	No
CPA6		1	1	109	0.9%	No
MDN1		3	3	109	2.8%	No
SOCS5		1	1	109	0.9%	No
CPA4		1	1	109	0.9%	No
COL28A1		2	2	109	1.8%	No
KL		1	1	109	0.9%	No
ZNF660		1	1	109	0.9%	No
BDNF		2	2	109	1.8%	No
GFPT2		1	1	109	0.9%	No
TNFRSF10A		3	2	109	1.8%	No
EEF2		1	1	109	0.9%	No
ENTREP1		1	1	109	0.9%	No
KIAA1755		2	2	109	1.8%	No
PTGES2-AS1		1	1	109	0.9%	No
TFCP2		1	1	109	0.9%	No
STK24		1	1	109	0.9%	No
STK25		1	1	109	0.9%	No
STK26		2	2	109	1.8%	No
HLA-DRA		1	1	109	0.9%	No
TUBGCP6		2	2	109	1.8%	No
CNTNAP3		1	1	109	0.9%	No
CNTNAP2		3	3	109	2.8%	No
CNTNAP1		1	1	109	0.9%	No
SH2D4A		2	2	109	1.8%	No
SH2D4B		1	1	109	0.9%	No
CELF2		1	1	109	0.9%	No
SCHIP1		1	1	109	0.9%	No
FHL1		1	1	109	0.9%	No
PIK3CD		1	1	109	0.9%	Yes
CELF6		1	1	109	0.9%	No
FHL5		1	1	109	0.9%	No
MRPL1		1	1	109	0.9%	No
FSD1L		1	1	109	0.9%	No
ZNF648		1	1	109	0.9%	No
ZNF646		2	2	109	1.8%	No
SPG11		1	1	109	0.9%	No
SLFN12L		1	1	109	0.9%	No
DSP		3	3	109	2.8%	No
OVGP1		2	2	109	1.8%	No
PTCRA		3	3	109	2.8%	No
PPP1R12A		1	1	109	0.9%	No
DST		2	2	109	1.8%	No
PEG3		1	1	109	0.9%	No
SH2D3A		2	2	109	1.8%	No
SH2D3C		1	1	109	0.9%	No
VPS37B		1	1	109	0.9%	No
RAD23B		1	1	109	0.9%	No
CYP2A7		2	2	109	1.8%	No
OR10A7		1	1	109	0.9%	No
SLC25A17		1	1	109	0.9%	No
NPC1		2	2	109	1.8%	No
PIK3CA		4	4	109	3.7%	Yes
IL1RAPL2		1	1	109	0.9%	No
DSG4		1	1	109	0.9%	No
OR10A4		1	1	109	0.9%	No
ST6GALNAC4		1	1	109	0.9%	No
CNTNAP5		2	2	109	1.8%	No
CNTNAP4		1	1	109	0.9%	No
OR10A5		1	1	109	0.9%	No
RNFT2		2	1	109	0.9%	No
COL15A1		4	4	109	3.7%	No
LRP1		1	1	109	0.9%	No
FOXK2		1	1	109	0.9%	No
HSD17B14		1	1	109	0.9%	No
FURIN		1	1	109	0.9%	Yes
FOXK1		2	2	109	1.8%	No
HSD17B13		1	1	109	0.9%	No
LRP2		3	3	109	2.8%	No
SLC25A26		1	1	109	0.9%	No
PTPRZ1		1	1	109	0.9%	No
SLITRK2		1	1	109	0.9%	No
SLITRK1		1	1	109	0.9%	No
SLITRK3		1	1	109	0.9%	No
ZNF626		1	1	109	0.9%	No
KRTAP6-2		1	1	109	0.9%	No
ZNF623		1	1	109	0.9%	No
SLC25A20		1	1	109	0.9%	No
CNNM2		2	2	109	1.8%	No
CNNM3		1	1	109	0.9%	No
LINGO2		1	1	109	0.9%	No
LINGO4		1	1	109	0.9%	No
MMAB		1	1	109	0.9%	No
TIE1		2	2	109	1.8%	No
MGA		1	1	109	0.9%	Yes
BAIAP3		1	1	109	0.9%	No
NELL1		1	1	109	0.9%	No
SLC25A37		1	1	109	0.9%	No
SNRK		1	1	109	0.9%	No
ZNF618		1	1	109	0.9%	No
ZNF616		1	1	109	0.9%	No
MGP		1	1	109	0.9%	No
ZNF614		1	1	109	0.9%	No
ZNF611		2	1	109	0.9%	No
SLC25A31		1	1	109	0.9%	No
MDGA2		2	2	109	1.8%	No
VPS35L		1	1	109	0.9%	No
EPHB6		1	1	109	0.9%	No
TAS2R20		2	1	109	0.9%	No
LRR1		1	1	109	0.9%	No
ULK4		3	2	109	1.8%	No
TONSL		2	2	109	1.8%	Yes
OGFOD3		1	1	109	0.9%	No
TXNDC11		1	1	109	0.9%	No
ZDHHC6		1	1	109	0.9%	No
DNHD1		2	2	109	1.8%	No
GCC2		1	1	109	0.9%	No
ZDHHC7		1	1	109	0.9%	No
GCC1		1	1	109	0.9%	No
ZDHHC1		1	1	109	0.9%	No
UBE2L3		1	1	109	0.9%	No
ZDHHC4		1	1	109	0.9%	No
TCL1B		1	1	109	0.9%	Yes
BAIAP2L1		2	2	109	1.8%	No
ZNF727		2	2	109	1.8%	No
OGFOD1		1	1	109	0.9%	No
RESP18		1	1	109	0.9%	No
CCNL2		1	1	109	0.9%	No
ZNF721		2	2	109	1.8%	No
ACAD11		1	1	109	0.9%	No
EPHB1		1	1	109	0.9%	Yes
ACAD10		1	1	109	0.9%	No
EPHA5		2	2	109	1.8%	Yes
EPHA4		1	1	109	0.9%	No
EPHA7		1	1	109	0.9%	Yes
EPHA6		1	1	109	0.9%	No
MUSK		2	2	109	1.8%	No
MMD2		1	1	109	0.9%	No
TAS2R16		1	1	109	0.9%	No
HASPIN		1	1	109	0.9%	No
FNDC8		1	1	109	0.9%	No
THAP4		2	2	109	1.8%	No
DHX40		1	1	109	0.9%	No
SFRP4		1	1	109	0.9%	Yes
SFRP2		1	1	109	0.9%	Yes
FNDC1		2	2	109	1.8%	No
ZNF717		2	2	109	1.8%	No
THAP9		1	1	109	0.9%	No
ZNF714		1	1	109	0.9%	No
ULK2		1	1	109	0.9%	No
EPHA1		1	1	109	0.9%	No
CTXN2		1	1	109	0.9%	No
EPHA2		1	1	109	0.9%	No
TAS2R41		1	1	109	0.9%	No
TAS2R42		1	1	109	0.9%	No
CRACD		3	3	109	2.8%	No
TAS2R43		3	2	109	1.8%	No
PIK3R4		1	1	109	0.9%	No
RTF2		1	1	109	0.9%	No
MST1R		1	1	109	0.9%	Yes
RTF1		1	1	109	0.9%	No
ART5		1	1	109	0.9%	No
